sid,aid,routes,month,dow,dep,arr,nTrans,tway,OriLat,OriLon,DesLat,DesLon,OriZone,DesZone,oppo,typeD,nwDist,eucDist,caruse
78,,902_121,4,Monday,440.78,473.22,1,1,44.978541,-93.26996,44.984568,-93.186332,Minneapolis Downtown,Univ of Minnesota,1,W,4.245243139,4.110122816,0
80,,122,4,Monday,429,436,0,0,44.980616,-93.239529,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,1,W,0.718773479,0.718771692,0
81,,121,4,Monday,427,449,0,0,44.984568,-93.186332,44.978228,-93.236047,Univ of Minnesota,Univ of Minnesota,1,Ed,2.46996532,2.46995918,0
83,,121,4,Monday,464,482,0,0,44.984392,-93.181393,44.974371,-93.236936,Univ of Minnesota,Univ of Minnesota,1,Ed,2.80264238,2.802635413,0
84,,122,4,Monday,459,469,0,0,44.975235,-93.226948,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.956007028,0.956004651,0
86,,122,4,Monday,517.5,529.5,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
87,,121,4,Monday,425,448,0,0,44.984568,-93.186332,44.974371,-93.236936,Univ of Minnesota,Univ of Minnesota,1,Ed,2.572632338,2.572625942,0
88,,121,4,Monday,432.5,451.5,0,0,44.97535,-93.226535,44.984488,-93.181641,Univ of Minnesota,Univ of Minnesota,1,Ed,2.284085747,2.284080069,0
90,,122,4,Monday,526,535,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,W,0.512331357,0.512330083,0
91,,121,4,Monday,524.5,540.5,0,0,44.97535,-93.226535,44.984488,-93.181641,Univ of Minnesota,Univ of Minnesota,1,Ed,2.284085747,2.284080069,0
95,,122,4,Monday,490,500,0,0,44.975235,-93.226948,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.956007028,0.956004651,0
96,,121,4,Monday,438.5,448.5,0,0,44.976316,-93.221826,44.972216,-93.244004,Univ of Minnesota,Univ of Minnesota,0,Ed,1.120782712,1.120779926,0
