globalInd,opt,timeOpt,locOpt,catOpt,modelOpt
0,0,1dpos,2dpos,onehot,SV
1,0,1dpos,elliptic,onehot,SV
2,0,1dpos,polar,onehot,SV
3,0,1dpos,raw,onehot,SV
4,0,1dpos,zone,onehot,SV
5,0,addDur,2dpos,onehot,SV
6,0,addDur,elliptic,onehot,SV
7,0,addDur,polar,onehot,SV
8,0,addDur,raw,onehot,SV
9,0,addDur,zone,onehot,SV
10,0,cyclic,2dpos,onehot,SV
11,0,cyclic,elliptic,onehot,SV
12,0,cyclic,polar,onehot,SV
13,0,cyclic,raw,onehot,SV
14,0,cyclic,zone,onehot,SV
15,0,raw,2dpos,onehot,SV
16,0,raw,elliptic,onehot,SV
17,0,raw,polar,onehot,SV
18,0,raw,raw,onehot,SV
19,0,raw,zone,onehot,SV
20,1,1dpos,2dpos,onehot,SV
21,1,1dpos,elliptic,onehot,SV
22,1,1dpos,polar,onehot,SV
23,1,1dpos,raw,onehot,SV
24,1,1dpos,zone,onehot,SV
25,1,addDur,2dpos,onehot,SV
26,1,addDur,elliptic,onehot,SV
27,1,addDur,polar,onehot,SV
28,1,addDur,raw,onehot,SV
29,1,addDur,zone,onehot,SV
30,1,cyclic,2dpos,onehot,SV
31,1,cyclic,elliptic,onehot,SV
32,1,cyclic,polar,onehot,SV
33,1,cyclic,raw,onehot,SV
34,1,cyclic,zone,onehot,SV
35,1,raw,2dpos,onehot,SV
36,1,raw,elliptic,onehot,SV
37,1,raw,polar,onehot,SV
38,1,raw,raw,onehot,SV
39,1,raw,zone,onehot,SV
40,2,1dpos,2dpos,onehot,SV
41,2,1dpos,elliptic,onehot,SV
42,2,1dpos,polar,onehot,SV
43,2,1dpos,raw,onehot,SV
44,2,1dpos,zone,onehot,SV
45,2,addDur,2dpos,onehot,SV
46,2,addDur,elliptic,onehot,SV
47,2,addDur,polar,onehot,SV
48,2,addDur,raw,onehot,SV
49,2,addDur,zone,onehot,SV
50,2,cyclic,2dpos,onehot,SV
51,2,cyclic,elliptic,onehot,SV
52,2,cyclic,polar,onehot,SV
53,2,cyclic,raw,onehot,SV
54,2,cyclic,zone,onehot,SV
55,2,raw,2dpos,onehot,SV
56,2,raw,elliptic,onehot,SV
57,2,raw,polar,onehot,SV
58,2,raw,raw,onehot,SV
59,2,raw,zone,onehot,SV
60,3,1dpos,2dpos,onehot,SV
61,3,1dpos,elliptic,onehot,SV
62,3,1dpos,polar,onehot,SV
63,3,1dpos,raw,onehot,SV
64,3,1dpos,zone,onehot,SV
65,3,addDur,2dpos,onehot,SV
66,3,addDur,elliptic,onehot,SV
67,3,addDur,polar,onehot,SV
68,3,addDur,raw,onehot,SV
69,3,addDur,zone,onehot,SV
70,3,cyclic,2dpos,onehot,SV
71,3,cyclic,elliptic,onehot,SV
72,3,cyclic,polar,onehot,SV
73,3,cyclic,raw,onehot,SV
74,3,cyclic,zone,onehot,SV
75,3,raw,2dpos,onehot,SV
76,3,raw,elliptic,onehot,SV
77,3,raw,polar,onehot,SV
78,3,raw,raw,onehot,SV
79,3,raw,zone,onehot,SV
80,4,1dpos,2dpos,onehot,SV
81,4,1dpos,elliptic,onehot,SV
82,4,1dpos,polar,onehot,SV
83,4,1dpos,raw,onehot,SV
84,4,1dpos,zone,onehot,SV
85,4,addDur,2dpos,onehot,SV
86,4,addDur,elliptic,onehot,SV
87,4,addDur,polar,onehot,SV
88,4,addDur,raw,onehot,SV
89,4,addDur,zone,onehot,SV
90,4,cyclic,2dpos,onehot,SV
91,4,cyclic,elliptic,onehot,SV
92,4,cyclic,polar,onehot,SV
93,4,cyclic,raw,onehot,SV
94,4,cyclic,zone,onehot,SV
95,4,raw,2dpos,onehot,SV
96,4,raw,elliptic,onehot,SV
97,4,raw,polar,onehot,SV
98,4,raw,raw,onehot,SV
99,4,raw,zone,onehot,SV
100,5,1dpos,2dpos,onehot,SV
101,5,1dpos,elliptic,onehot,SV
102,5,1dpos,polar,onehot,SV
103,5,1dpos,raw,onehot,SV
104,5,1dpos,zone,onehot,SV
105,5,addDur,2dpos,onehot,SV
106,5,addDur,elliptic,onehot,SV
107,5,addDur,polar,onehot,SV
108,5,addDur,raw,onehot,SV
109,5,addDur,zone,onehot,SV
110,5,cyclic,2dpos,onehot,SV
111,5,cyclic,elliptic,onehot,SV
112,5,cyclic,polar,onehot,SV
113,5,cyclic,raw,onehot,SV
114,5,cyclic,zone,onehot,SV
115,5,raw,2dpos,onehot,SV
116,5,raw,elliptic,onehot,SV
117,5,raw,polar,onehot,SV
118,5,raw,raw,onehot,SV
119,5,raw,zone,onehot,SV
120,6,1dpos,2dpos,onehot,SV
121,6,1dpos,elliptic,onehot,SV
122,6,1dpos,polar,onehot,SV
123,6,1dpos,raw,onehot,SV
124,6,1dpos,zone,onehot,SV
125,6,addDur,2dpos,onehot,SV
126,6,addDur,elliptic,onehot,SV
127,6,addDur,polar,onehot,SV
128,6,addDur,raw,onehot,SV
129,6,addDur,zone,onehot,SV
