globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom
0,0,1dpos,2dpos,5FTE,SV,8,2500
1,0,1dpos,2dpos,5FTE,SV,8,5000
2,0,1dpos,2dpos,5FTE,SV,8,10000
3,0,1dpos,2dpos,5FTE,SV,16,2500
4,0,1dpos,2dpos,5FTE,SV,16,5000
5,0,1dpos,2dpos,5FTE,SV,16,10000
6,0,1dpos,2dpos,5FTE,SV,24,2500
7,0,1dpos,2dpos,5FTE,SV,24,5000
8,0,1dpos,2dpos,5FTE,SV,24,10000
9,0,1dpos,2dpos,WTE,SV,8,2500
10,0,1dpos,2dpos,WTE,SV,8,5000
11,0,1dpos,2dpos,WTE,SV,8,10000
12,0,1dpos,2dpos,WTE,SV,16,2500
13,0,1dpos,2dpos,WTE,SV,16,5000
14,0,1dpos,2dpos,WTE,SV,16,10000
15,0,1dpos,2dpos,WTE,SV,24,2500
16,0,1dpos,2dpos,WTE,SV,24,5000
17,0,1dpos,2dpos,WTE,SV,24,10000
18,0,1dpos,2dpos,onehot,SV,8,2500
19,0,1dpos,2dpos,onehot,SV,8,5000
20,0,1dpos,2dpos,onehot,SV,8,10000
21,0,1dpos,2dpos,onehot,SV,16,2500
22,0,1dpos,2dpos,onehot,SV,16,5000
23,0,1dpos,2dpos,onehot,SV,16,10000
24,0,1dpos,2dpos,onehot,SV,24,2500
25,0,1dpos,2dpos,onehot,SV,24,5000
26,0,1dpos,2dpos,onehot,SV,24,10000
27,0,1dpos,elliptic,5FTE,SV,,
28,0,1dpos,elliptic,WTE,SV,,
29,0,1dpos,elliptic,onehot,SV,,
30,0,1dpos,polar,5FTE,SV,,
31,0,1dpos,polar,WTE,SV,,
32,0,1dpos,polar,onehot,SV,,
33,0,1dpos,raw,5FTE,SV,,
34,0,1dpos,raw,WTE,SV,,
35,0,1dpos,raw,onehot,SV,,
36,0,1dpos,zone,5FTE,SV,,
37,0,1dpos,zone,WTE,SV,,
38,0,1dpos,zone,onehot,SV,,
39,0,cyclic,2dpos,5FTE,SV,8,2500
40,0,cyclic,2dpos,5FTE,SV,8,5000
41,0,cyclic,2dpos,5FTE,SV,8,10000
42,0,cyclic,2dpos,5FTE,SV,16,2500
43,0,cyclic,2dpos,5FTE,SV,16,5000
44,0,cyclic,2dpos,5FTE,SV,16,10000
45,0,cyclic,2dpos,5FTE,SV,24,2500
46,0,cyclic,2dpos,5FTE,SV,24,5000
47,0,cyclic,2dpos,5FTE,SV,24,10000
48,0,cyclic,2dpos,WTE,SV,8,2500
49,0,cyclic,2dpos,WTE,SV,8,5000
50,0,cyclic,2dpos,WTE,SV,8,10000
51,0,cyclic,2dpos,WTE,SV,16,2500
52,0,cyclic,2dpos,WTE,SV,16,5000
53,0,cyclic,2dpos,WTE,SV,16,10000
54,0,cyclic,2dpos,WTE,SV,24,2500
55,0,cyclic,2dpos,WTE,SV,24,5000
56,0,cyclic,2dpos,WTE,SV,24,10000
57,0,cyclic,2dpos,onehot,SV,8,2500
58,0,cyclic,2dpos,onehot,SV,8,5000
59,0,cyclic,2dpos,onehot,SV,8,10000
60,0,cyclic,2dpos,onehot,SV,16,2500
61,0,cyclic,2dpos,onehot,SV,16,5000
62,0,cyclic,2dpos,onehot,SV,16,10000
63,0,cyclic,2dpos,onehot,SV,24,2500
64,0,cyclic,2dpos,onehot,SV,24,5000
65,0,cyclic,2dpos,onehot,SV,24,10000
66,0,cyclic,elliptic,5FTE,SV,,
67,0,cyclic,elliptic,WTE,SV,,
68,0,cyclic,elliptic,onehot,SV,,
69,0,cyclic,polar,5FTE,SV,,
70,0,cyclic,polar,WTE,SV,,
71,0,cyclic,polar,onehot,SV,,
72,0,cyclic,raw,5FTE,SV,,
73,0,cyclic,raw,WTE,SV,,
74,0,cyclic,raw,onehot,SV,,
75,0,cyclic,zone,5FTE,SV,,
76,0,cyclic,zone,WTE,SV,,
77,0,cyclic,zone,onehot,SV,,
78,0,raw,2dpos,5FTE,SV,8,2500
79,0,raw,2dpos,5FTE,SV,8,5000
80,0,raw,2dpos,5FTE,SV,8,10000
81,0,raw,2dpos,5FTE,SV,16,2500
82,0,raw,2dpos,5FTE,SV,16,5000
83,0,raw,2dpos,5FTE,SV,16,10000
84,0,raw,2dpos,5FTE,SV,24,2500
85,0,raw,2dpos,5FTE,SV,24,5000
86,0,raw,2dpos,5FTE,SV,24,10000
87,0,raw,2dpos,WTE,SV,8,2500
88,0,raw,2dpos,WTE,SV,8,5000
89,0,raw,2dpos,WTE,SV,8,10000
90,0,raw,2dpos,WTE,SV,16,2500
91,0,raw,2dpos,WTE,SV,16,5000
92,0,raw,2dpos,WTE,SV,16,10000
93,0,raw,2dpos,WTE,SV,24,2500
94,0,raw,2dpos,WTE,SV,24,5000
95,0,raw,2dpos,WTE,SV,24,10000
96,0,raw,2dpos,onehot,SV,8,2500
97,0,raw,2dpos,onehot,SV,8,5000
98,0,raw,2dpos,onehot,SV,8,10000
99,0,raw,2dpos,onehot,SV,16,2500
100,0,raw,2dpos,onehot,SV,16,5000
101,0,raw,2dpos,onehot,SV,16,10000
102,0,raw,2dpos,onehot,SV,24,2500
103,0,raw,2dpos,onehot,SV,24,5000
104,0,raw,2dpos,onehot,SV,24,10000
105,0,raw,elliptic,5FTE,SV,,
106,0,raw,elliptic,WTE,SV,,
107,0,raw,elliptic,onehot,SV,,
108,0,raw,polar,5FTE,SV,,
109,0,raw,polar,WTE,SV,,
110,0,raw,polar,onehot,SV,,
111,0,raw,raw,5FTE,SV,,
112,0,raw,raw,WTE,SV,,
113,0,raw,raw,onehot,SV,,
114,0,raw,zone,5FTE,SV,,
115,0,raw,zone,WTE,SV,,
116,0,raw,zone,onehot,SV,,
117,1,1dpos,2dpos,5FTE,SV,8,2500
118,1,1dpos,2dpos,5FTE,SV,8,5000
119,1,1dpos,2dpos,5FTE,SV,8,10000
120,1,1dpos,2dpos,5FTE,SV,16,2500
121,1,1dpos,2dpos,5FTE,SV,16,5000
122,1,1dpos,2dpos,5FTE,SV,16,10000
123,1,1dpos,2dpos,5FTE,SV,24,2500
124,1,1dpos,2dpos,5FTE,SV,24,5000
125,1,1dpos,2dpos,5FTE,SV,24,10000
126,1,1dpos,2dpos,WTE,SV,8,2500
127,1,1dpos,2dpos,WTE,SV,8,5000
128,1,1dpos,2dpos,WTE,SV,8,10000
129,1,1dpos,2dpos,WTE,SV,16,2500
130,1,1dpos,2dpos,WTE,SV,16,5000
131,1,1dpos,2dpos,WTE,SV,16,10000
132,1,1dpos,2dpos,WTE,SV,24,2500
133,1,1dpos,2dpos,WTE,SV,24,5000
134,1,1dpos,2dpos,WTE,SV,24,10000
135,1,1dpos,2dpos,onehot,SV,8,2500
136,1,1dpos,2dpos,onehot,SV,8,5000
137,1,1dpos,2dpos,onehot,SV,8,10000
138,1,1dpos,2dpos,onehot,SV,16,2500
139,1,1dpos,2dpos,onehot,SV,16,5000
140,1,1dpos,2dpos,onehot,SV,16,10000
141,1,1dpos,2dpos,onehot,SV,24,2500
142,1,1dpos,2dpos,onehot,SV,24,5000
143,1,1dpos,2dpos,onehot,SV,24,10000
144,1,1dpos,elliptic,5FTE,SV,,
145,1,1dpos,elliptic,WTE,SV,,
146,1,1dpos,elliptic,onehot,SV,,
147,1,1dpos,polar,5FTE,SV,,
148,1,1dpos,polar,WTE,SV,,
149,1,1dpos,polar,onehot,SV,,
150,1,1dpos,raw,5FTE,SV,,
151,1,1dpos,raw,WTE,SV,,
152,1,1dpos,raw,onehot,SV,,
153,1,1dpos,zone,5FTE,SV,,
154,1,1dpos,zone,WTE,SV,,
155,1,1dpos,zone,onehot,SV,,
156,1,cyclic,2dpos,5FTE,SV,8,2500
157,1,cyclic,2dpos,5FTE,SV,8,5000
158,1,cyclic,2dpos,5FTE,SV,8,10000
159,1,cyclic,2dpos,5FTE,SV,16,2500
160,1,cyclic,2dpos,5FTE,SV,16,5000
161,1,cyclic,2dpos,5FTE,SV,16,10000
162,1,cyclic,2dpos,5FTE,SV,24,2500
163,1,cyclic,2dpos,5FTE,SV,24,5000
164,1,cyclic,2dpos,5FTE,SV,24,10000
165,1,cyclic,2dpos,WTE,SV,8,2500
166,1,cyclic,2dpos,WTE,SV,8,5000
167,1,cyclic,2dpos,WTE,SV,8,10000
168,1,cyclic,2dpos,WTE,SV,16,2500
169,1,cyclic,2dpos,WTE,SV,16,5000
170,1,cyclic,2dpos,WTE,SV,16,10000
171,1,cyclic,2dpos,WTE,SV,24,2500
172,1,cyclic,2dpos,WTE,SV,24,5000
173,1,cyclic,2dpos,WTE,SV,24,10000
174,1,cyclic,2dpos,onehot,SV,8,2500
175,1,cyclic,2dpos,onehot,SV,8,5000
176,1,cyclic,2dpos,onehot,SV,8,10000
177,1,cyclic,2dpos,onehot,SV,16,2500
178,1,cyclic,2dpos,onehot,SV,16,5000
179,1,cyclic,2dpos,onehot,SV,16,10000
180,1,cyclic,2dpos,onehot,SV,24,2500
181,1,cyclic,2dpos,onehot,SV,24,5000
182,1,cyclic,2dpos,onehot,SV,24,10000
183,1,cyclic,elliptic,5FTE,SV,,
184,1,cyclic,elliptic,WTE,SV,,
185,1,cyclic,elliptic,onehot,SV,,
186,1,cyclic,polar,5FTE,SV,,
187,1,cyclic,polar,WTE,SV,,
188,1,cyclic,polar,onehot,SV,,
189,1,cyclic,raw,5FTE,SV,,
190,1,cyclic,raw,WTE,SV,,
191,1,cyclic,raw,onehot,SV,,
192,1,cyclic,zone,5FTE,SV,,
193,1,cyclic,zone,WTE,SV,,
