Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,iterations,learning_rate,depth,l2_leaf_reg,random_strength,auto_class_weights,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,702,0,1dpos,2dpos,catboost,CB,8,2500,700,0.05569209,8,1.63003866,3.012748108,Balanced,0.630219411,0.013061208,0.641826448,0.000576295,0.598774461,0.013975387,37.72,102,0.642814786,0.655293221,0.579165843
1,703,0,1dpos,2dpos,catboost,CB,8,5000,600,0.07160014,8,0.755018242,4.09216493,SqrtBalanced,0.629385254,0.012063729,0.640877644,0.001189295,0.600355802,0.014824669,42.76,121.2,0.64241945,0.657658615,0.581972722
2,704,0,1dpos,2dpos,catboost,CB,8,10000,600,0.028376402,9,0.180123565,4.558538944,Balanced,0.630164064,0.013562167,0.643842657,0.001626409,0.597667523,0.016101473,50.78,134,0.645977466,0.657628661,0.583119194
3,705,0,1dpos,2dpos,catboost,CB,16,2500,700,0.067893856,8,1.405196532,2.659378885,Balanced,0.630990314,0.010205582,0.644079858,0.003192193,0.609685709,0.010844365,25.6,78,0.649733149,0.6520365,0.578651907
4,706,0,1dpos,2dpos,catboost,CB,16,5000,800,0.051519598,9,2.01114647,2.424707503,SqrtBalanced,0.632429334,0.013016147,0.64241945,0.00062508,0.601186005,0.019891188,74.46,192.6,0.643012453,0.657753153,0.583672663
5,707,0,1dpos,2dpos,catboost,CB,16,10000,600,0.147952294,8,2.784137722,1.23097739,SqrtBalanced,0.630938921,0.009559614,0.641035778,0.001822405,0.609488041,0.0143548,41.48,122,0.644198458,0.65464609,0.579442578
6,708,0,1dpos,2dpos,catboost,CB,24,2500,500,0.162081266,6,3.172310815,3.249212803,Balanced,0.628934572,0.01798707,0.643407788,0.002388426,0.584344732,0.023781547,45.64,173.4,0.646175133,0.652586151,0.580984384
7,709,0,1dpos,2dpos,catboost,CB,24,5000,400,0.050252114,9,0.104961966,2.713133059,Balanced,0.632453054,0.011118193,0.645898399,0.002498755,0.608143902,0.008148363,72.02,189.4,0.649733149,0.655121567,0.581775054
8,710,0,1dpos,2dpos,catboost,CB,24,10000,700,0.090263519,6,0.519481607,4.003841062,Balanced,0.630630559,0.012449548,0.641826448,0.000765563,0.604546353,0.02579565,74.82,213.4,0.642617118,0.654756378,0.58228899
9,711,0,1dpos,elliptic,catboost,CB,,,600,0.069255482,7,2.293784899,0.066671741,Balanced,0.623459182,0.011039579,0.634156948,0.001514448,0.600434869,0.021583176,24.12,78.8,0.636291757,0.658598582,0.569282467
10,712,0,1dpos,polar,catboost,CB,,,800,0.03892654,8,4.240988748,3.047858792,Balanced,0.622814786,0.01486713,0.637201028,0.001680755,0.588970152,0.021416435,25.2,64.6,0.63925677,0.651737771,0.568452263
11,713,0,1dpos,raw,catboost,CB,,,600,0.132346311,6,2.331684114,3.2948045,Balanced,0.617430322,0.012410502,0.630598933,0.004765386,0.587981815,0.015739474,12.28,35.4,0.639059103,0.648182057,0.562245503
12,714,0,1dpos,zone,catboost,CB,,,400,0.069197561,8,1.262006252,4.329580184,Balanced,0.623340581,0.006022523,0.633089543,0.001786678,0.611899585,0.00256435,17.04,52.4,0.63530342,0.649804612,0.566870923
13,715,0,cyclic,2dpos,catboost,CB,8,2500,500,0.119123639,8,1.417695454,0.011660043,,0.634224155,0.007837233,0.643921724,0.001140663,0.618343546,0.007393928,28.68,81.2,0.645779798,0.658466691,0.583040127
14,716,0,cyclic,2dpos,catboost,CB,8,5000,700,0.050610279,7,0.731571886,4.601190956,Balanced,0.635592014,0.010626744,0.648033208,0.002839128,0.611860051,0.01221355,35.68,83.6,0.651314489,0.658054941,0.582051789
15,717,0,cyclic,2dpos,catboost,CB,8,10000,600,0.109868334,8,2.060919932,4.675262684,Balanced,0.63155169,0.015894203,0.646293734,0.002668878,0.592172366,0.012777795,35.46,89.6,0.650919154,0.654960542,0.580549516
16,718,0,cyclic,2dpos,catboost,CB,16,2500,800,0.147754771,8,9.815671244,3.196020699,Balanced,0.634959478,0.013454959,0.648942479,0.001779008,0.602134809,0.014651684,72.08,168.2,0.651512157,0.657082894,0.588456217
17,719,0,cyclic,2dpos,catboost,CB,16,5000,700,0.08093451,8,4.400445966,2.247251895,Balanced,0.635924096,0.01472395,0.649140146,0.001961794,0.600711603,0.011351693,49.6,140.2,0.651709824,0.653212142,0.583988931
18,720,0,cyclic,2dpos,catboost,CB,16,10000,400,0.112420903,7,0.287151832,1.736958998,SqrtBalanced,0.635856889,0.009061432,0.647163471,0.002020661,0.616287804,0.009727371,31.92,99.2,0.649337814,0.656003914,0.58624234
19,721,0,cyclic,2dpos,catboost,CB,24,2500,500,0.099367272,7,2.525388326,2.244917764,Balanced,0.633714173,0.009514223,0.64546353,0.001359458,0.614864598,0.007754011,43.52,143.4,0.647361139,0.652496309,0.579521645
20,722,0,cyclic,2dpos,catboost,CB,24,5000,800,0.068475959,7,0.134063158,2.670463719,SqrtBalanced,0.632931409,0.014938044,0.645305396,0.001979638,0.597390789,0.022788159,47.84,135.8,0.648151809,0.654072468,0.584463333
21,723,0,cyclic,2dpos,catboost,CB,24,10000,700,0.056414048,7,0.287388093,4.570614932,Balanced,0.632528168,0.014775144,0.646768136,0.002001231,0.594425776,0.014156638,55.68,129.4,0.649930816,0.652929394,0.581221585
22,724,0,cyclic,elliptic,catboost,CB,,,600,0.159681919,4,0.422002215,0.905026761,Balanced,0.629033406,0.013222063,0.639731172,0.001387902,0.598813995,0.023941691,9.14,25.8,0.642024115,0.65474239,0.574975292
23,725,0,cyclic,polar,catboost,CB,,,600,0.033438083,9,0.170117567,2.979527957,Balanced,0.62992291,0.014871667,0.641114845,0.000822164,0.591777031,0.019050781,28.02,61.8,0.641826448,0.654669999,0.575845029
24,726,0,cyclic,raw,catboost,CB,,,800,0.129305705,5,0.217617722,4.924813361,SqrtBalanced,0.623431508,0.011207294,0.635777822,0.000890601,0.596797786,0.0048487,12.78,36.4,0.637082427,0.647531732,0.571061475
25,727,0,cyclic,zone,catboost,CB,,,300,0.072530447,9,0.84248141,4.064507446,Balanced,0.626752323,0.008673299,0.635619688,0.001323044,0.607550899,0.013347023,16.74,41.8,0.637873097,0.650692888,0.569045266
26,728,0,raw,2dpos,catboost,CB,8,2500,700,0.093860278,7,3.824510458,4.967846125,Balanced,0.635082032,0.012357158,0.647756474,0.001007911,0.604309152,0.013989359,20.76,61.8,0.649337814,0.655450033,0.581458786
27,729,0,raw,2dpos,catboost,CB,8,5000,600,0.065652649,9,1.863054596,1.497251257,SqrtBalanced,0.631535877,0.015045242,0.647005337,0.001968753,0.59537458,0.010601505,53.52,116,0.649733149,0.659804851,0.587863214
28,730,0,raw,2dpos,catboost,CB,8,10000,600,0.093222267,7,3.896042125,0.72142679,Balanced,0.63153983,0.018498466,0.6462542,0.000586377,0.584819134,0.011213691,20.16,68.2,0.647163471,0.653093667,0.578414706
29,731,0,raw,2dpos,catboost,CB,16,2500,500,0.115177573,8,0.260369948,2.828694356,,0.634587863,0.01163729,0.647519273,0.001068136,0.608025301,0.010201444,37.22,126,0.648547144,0.656976204,0.586321407
30,732,0,raw,2dpos,catboost,CB,16,5000,400,0.094450367,8,0.790600537,1.433701403,SqrtBalanced,0.633425578,0.014718492,0.646847203,0.000586377,0.598458193,0.018289641,33.06,110.2,0.647361139,0.653038284,0.584028464
31,733,0,raw,2dpos,catboost,CB,16,10000,800,0.167079989,7,5.59618115,1.278797643,Balanced,0.636762206,0.014795419,0.649930816,0.002742526,0.602332477,0.018156061,41.44,114.6,0.653093497,0.653299777,0.583988931
32,734,0,raw,2dpos,catboost,CB,24,2500,300,0.085508759,9,0.156312014,0.010163456,,0.629851749,0.013512516,0.643051987,0.001068136,0.597390789,0.01173203,60.86,181.4,0.644791461,0.655276099,0.583672663
33,735,0,raw,2dpos,catboost,CB,24,5000,800,0.155571952,8,1.368167745,2.421129383,Balanced,0.635631548,0.008187195,0.645028662,0.000962298,0.617790077,0.006384692,73.1,190,0.646570468,0.653624271,0.581893655
34,736,0,raw,2dpos,catboost,CB,24,10000,700,0.027960931,10,1.731328948,4.623717265,Balanced,0.63471437,0.01062654,0.6461356,0.000941777,0.610594979,0.010145756,69.78,181.4,0.647361139,0.653551236,0.581814588
35,737,0,raw,elliptic,catboost,CB,,,500,0.083573384,8,0.103248246,0.024978522,Balanced,0.63163471,0.011536559,0.641549713,0.001223305,0.603439415,0.012764027,20.3,48,0.643012453,0.653940399,0.574579957
36,738,0,raw,polar,catboost,CB,,,400,0.118967829,6,0.273227902,1.335315277,Balanced,0.632302827,0.01663371,0.644317059,0.000760442,0.588179482,0.0136144,19.52,52.6,0.645384463,0.652072406,0.578217039
37,739,0,raw,raw,catboost,CB,,,400,0.170591894,7,1.284078966,1.344348486,Balanced,0.627637873,0.012333236,0.640086974,0.001851122,0.596876853,0.013338238,12.74,41.2,0.642221783,0.650682423,0.575489227
38,740,0,raw,zone,catboost,CB,,,500,0.114843178,8,1.095292259,2.0235469,Balanced,0.628432497,0.011972043,0.639098636,0.001002079,0.601146472,0.021017645,15.76,56.2,0.640442775,0.651191994,0.570903341
39,741,1,1dpos,2dpos,catboost,CB,8,2500,700,0.042072985,9,2.937004723,4.750932455,Balanced,0.62989919,0.010400302,0.641786914,0.001112923,0.606364894,0.005753789,33.74,108.4,0.643407788,0.656235483,0.579561178
40,742,1,1dpos,2dpos,catboost,CB,8,5000,800,0.020631562,8,0.216178148,3.8936389,Balanced,0.634156948,0.00760117,0.644514726,0.001443108,0.61838308,0.003683729,38.34,102.4,0.646965804,0.661889023,0.582209923
41,743,1,1dpos,2dpos,catboost,CB,8,10000,800,0.066863291,5,0.164920722,0.943848144,Balanced,0.632302827,0.011203613,0.64083811,0.000778218,0.6077881,0.021242316,21.54,74.6,0.642024115,0.658422685,0.577979838
42,744,1,1dpos,2dpos,catboost,CB,16,2500,700,0.043163756,8,0.875590384,3.947431274,SqrtBalanced,0.63236608,0.01221609,0.644158925,0.000744868,0.603597549,0.012167877,40.62,126.2,0.644791461,0.658097074,0.585095869
43,745,1,1dpos,2dpos,catboost,CB,16,5000,800,0.043592994,8,2.122901732,1.40560585,Balanced,0.631978652,0.013211182,0.64376359,0.00051165,0.600711603,0.020184361,39.72,116.4,0.644396126,0.656273179,0.580114647
44,746,1,1dpos,2dpos,catboost,CB,16,10000,800,0.051000784,8,1.905314875,0.028448841,SqrtBalanced,0.631314489,0.013550914,0.642103182,0.000649602,0.604823088,0.028062315,42.72,129,0.643210121,0.655203941,0.581933188
45,747,1,1dpos,2dpos,catboost,CB,24,2500,800,0.032020795,9,6.251471277,3.947938939,Balanced,0.631508203,0.014955702,0.645582131,0.001288635,0.594860644,0.020267718,32.96,145.4,0.647163471,0.653048203,0.577544969
46,748,1,1dpos,2dpos,catboost,CB,24,5000,700,0.027531641,10,3.393794526,1.770391919,Balanced,0.631519498,0.012274103,0.642893853,0.001345011,0.601106938,0.012737674,105.0204082,224.2,0.644593793,0.65482256,0.579323977
47,749,1,1dpos,2dpos,catboost,CB,24,10000,700,0.074770434,7,0.437255193,3.069326383,Balanced,0.632741649,0.013355928,0.646728602,0.002130779,0.600197668,0.010466677,33.54,103.4,0.648349476,0.655228743,0.579996047
48,750,1,1dpos,elliptic,catboost,CB,,,300,0.181135157,5,6.491032636,4.818080261,Balanced,0.624380312,0.009996633,0.636608025,0.003402524,0.601897608,0.012918144,7.8,35.6,0.642221783,0.654530124,0.567384859
49,751,1,1dpos,polar,catboost,CB,,,800,0.06503176,5,0.101896155,4.782381804,Balanced,0.624898201,0.011638172,0.636252224,0.001414394,0.598972129,0.020638705,7.96,22.4,0.638070765,0.651252859,0.57011267
50,752,1,1dpos,raw,catboost,CB,,,700,0.13645749,4,1.16123747,2.599728036,SqrtBalanced,0.615010872,0.010014389,0.623838703,0.000369802,0.590946827,0.011636894,7.7,28.8,0.624234038,0.647145947,0.560901364
51,753,1,1dpos,zone,catboost,CB,,,300,0.04245809,9,2.437314179,2.300254074,Balanced,0.621810635,0.006380189,0.629531528,0.000831614,0.608341569,0.00409081,16.48,55.2,0.630559399,0.649661558,0.564103578
52,754,1,cyclic,2dpos,catboost,CB,8,2500,800,0.069905072,8,1.543749187,4.767006711,SqrtBalanced,0.630638466,0.011575189,0.643170587,0.000646587,0.604388219,0.011642768,12.8,48.4,0.644000791,0.657272135,0.579877446
53,755,1,cyclic,2dpos,catboost,CB,8,5000,800,0.080985334,7,1.013497505,1.763686238,Balanced,0.633275351,0.014293996,0.64467286,0.002194911,0.59683732,0.014776622,29.1,80.2,0.648547144,0.657612886,0.580786717
54,756,1,cyclic,2dpos,catboost,CB,8,10000,300,0.068076459,9,0.563893843,4.251698116,SqrtBalanced,0.631164262,0.013478561,0.642340383,0.000534068,0.59695592,0.016922233,26.9,68.2,0.643012453,0.658071963,0.582249456
55,757,1,cyclic,2dpos,catboost,CB,16,2500,600,0.034968825,9,0.689991862,2.989724149,Balanced,0.635437834,0.014201743,0.648468077,0.001585042,0.599525598,0.013583082,52.3,137.6,0.650919154,0.654968362,0.582842459
56,758,1,cyclic,2dpos,catboost,CB,16,5000,400,0.08256272,7,0.272772093,2.839424247,Balanced,0.633358371,0.01781352,0.646689069,0.000922919,0.590353825,0.027171053,30.5,99,0.647756474,0.656070092,0.58240759
57,759,1,cyclic,2dpos,catboost,CB,16,10000,600,0.080432736,7,0.264075895,1.992149799,SqrtBalanced,0.637418462,0.008215065,0.648072742,0.001140663,0.621150425,0.005841401,42.3,130.6,0.649733149,0.657202381,0.583791263
58,760,1,cyclic,2dpos,catboost,CB,24,2500,700,0.061020736,8,0.7492607,2.780488111,Balanced,0.634190027,0.014850722,0.648586677,0.00135802,0.599802332,0.019332349,64.34693878,165.8,0.650523819,0.653294393,0.581419253
59,761,1,cyclic,2dpos,catboost,CB,24,5000,600,0.119234722,6,1.098585591,1.084922588,SqrtBalanced,0.632674442,0.015587918,0.646886737,0.002217051,0.593318838,0.013839974,32.34,83.8,0.650721486,0.654163924,0.581102985
60,762,1,cyclic,2dpos,catboost,CB,24,10000,700,0.064457899,7,1.371908649,2.123001927,Balanced,0.628485687,0.018275741,0.64376359,0.001731143,0.578928642,0.010955311,48.89090909,169.6,0.646372801,0.649659189,0.574817158
61,763,1,cyclic,elliptic,catboost,CB,,,600,0.153738971,5,1.207636117,1.320292739,Balanced,0.632417474,0.008177097,0.641905515,0.001657345,0.614983198,0.00175913,8.32,24.8,0.644791461,0.655091546,0.575014825
62,764,1,cyclic,polar,catboost,CB,,,800,0.244949736,3,4.757828287,0.466929111,Balanced,0.632192133,0.012357749,0.644791461,0.001186005,0.602213876,0.01136253,7.24,25.8,0.645977466,0.655120677,0.576398498
63,765,1,cyclic,raw,catboost,CB,,,400,0.125480844,8,1.020687087,1.445774759,Balanced,0.625657245,0.012224702,0.636805693,0.002697999,0.594307175,0.011434515,9.26,33.4,0.64004744,0.647541817,0.571140542
64,766,1,cyclic,zone,catboost,CB,,,800,0.13866311,5,2.05812203,2.703358909,Balanced,0.625364697,0.009881281,0.635698755,0.001281032,0.602846412,0.003104702,14.92,47,0.637280095,0.650154095,0.56841273
65,767,1,raw,2dpos,catboost,CB,8,2500,800,0.057675002,6,0.430364959,0.651088059,Balanced,0.632864202,0.013452635,0.648705278,0.001908285,0.60237201,0.007141517,17.1,71.2,0.651116822,0.655207998,0.581735521
66,768,1,raw,2dpos,catboost,CB,8,5000,700,0.110984065,7,0.558107757,1.387848743,SqrtBalanced,0.632397707,0.015994115,0.648033208,0.00365177,0.594781577,0.024385716,22.88,94.4,0.652302827,0.658786356,0.583949397
67,769,1,raw,2dpos,catboost,CB,8,10000,800,0.074900436,7,3.734872915,0.631827733,Balanced,0.632674442,0.019156389,0.64771694,0.00119748,0.586637675,0.024597656,33.34,105.2,0.649535481,0.656935644,0.582605258
68,770,1,raw,2dpos,catboost,CB,16,2500,700,0.050774617,9,0.137103327,4.267223688,,0.630745207,0.017420047,0.644712394,0.000299778,0.586400474,0.019992094,71,232,0.644989128,0.655719117,0.584581933
69,771,1,raw,2dpos,catboost,CB,16,5000,600,0.11732745,7,2.07772963,3.372683368,Balanced,0.631002174,0.01550083,0.643170587,0.000795596,0.593279304,0.020151717,31.44,146.2,0.644000791,0.653445045,0.578217039
70,772,1,raw,2dpos,catboost,CB,16,10000,400,0.046442785,9,1.247717217,4.987934729,Balanced,0.628780391,0.015912079,0.644158925,0.00120561,0.591737498,0.010714783,66.96,215,0.646175133,0.654216949,0.580747183
71,773,1,raw,2dpos,catboost,CB,24,2500,800,0.192441283,6,2.888800979,2.057351614,Balanced,0.632876062,0.014188576,0.645503064,0.001422657,0.597074521,0.013610094,31.8,126.2,0.647756474,0.651242618,0.577228701
72,774,1,raw,2dpos,catboost,CB,24,5000,800,0.033954576,9,0.175082921,4.164005624,SqrtBalanced,0.630282665,0.015110956,0.64241945,0.001161034,0.590472425,0.017998277,121.04,316.2,0.643407788,0.656432797,0.581379719
73,775,1,raw,2dpos,catboost,CB,24,10000,700,0.133147465,7,0.663111891,3.228041602,Balanced,0.628819925,0.015291093,0.642696185,0.001114677,0.592567701,0.011332229,32.42,121.6,0.644000791,0.652859083,0.579877446
74,776,1,raw,elliptic,catboost,CB,,,800,0.026830341,10,0.164207564,4.643232848,Balanced,0.624396126,0.015594589,0.638189365,0.000798048,0.587112077,0.005100052,33.08,80.6,0.63925677,0.657394085,0.572207946
75,777,1,raw,polar,catboost,CB,,,800,0.116323688,6,1.191335454,0.94138809,SqrtBalanced,0.633006523,0.017827952,0.646886737,0.001293175,0.587467879,0.023651231,11.36,39.8,0.648349476,0.656513351,0.580272781
76,778,1,raw,raw,catboost,CB,,,500,0.221711732,5,3.168310755,1.876192738,Balanced,0.625613758,0.017578715,0.639573038,0.001132067,0.582209923,0.011915598,4.28,22.2,0.640640443,0.651199692,0.573986954
77,779,1,raw,zone,catboost,CB,,,600,0.106261724,7,0.741501568,2.310096176,SqrtBalanced,0.626700929,0.013975164,0.641193912,0.003661921,0.593437438,0.012605393,10.82,32.6,0.646965804,0.6508456,0.57303815
