Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,C,penalty,class_weight,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,1014,0,1dpos,2dpos,5FTE,LR,8.0,2500.0,9944.576616083268,l2,,0.5519114449495948,0.0179554939896563,0.5600316268037161,0.000324800884071,0.5031429136192923,0.0246187738494462,0.0,0.0,0.5605850958687487,0.6355850200626587,0.5078078671674244
120,1134,1,1dpos,2dpos,5FTE,LR,16.0,2500.0,30.44336065982683,l1,balanced,0.5514884364498913,0.0490948921994862,0.5646175133425578,0.000108266961357,0.4438821901561572,0.1156134176577287,0.0,0.0,0.5647361138564934,0.6311146141010083,0.5113263490808461
1,1015,0,1dpos,2dpos,5FTE,LR,8.0,5000.0,63.268927954875295,l2,balanced,0.5526111879818145,0.0165088845989887,0.5593200237201027,0.0007208769531057,0.5100217434275548,0.0283000945758179,0.0,0.0,0.5605850958687487,0.6353000815054479,0.5074520656256177
121,1135,1,1dpos,2dpos,5FTE,LR,16.0,5000.0,6057.220195884261,l1,balanced,0.5518560980430915,0.0501669934588294,0.5647361138564934,0.0,0.441272978849575,0.1176482658687368,0.0,0.0,0.5647361138564934,0.6311005674583511,0.5113263490808461
2,1016,0,1dpos,2dpos,5FTE,LR,8.0,10000.0,2085.061433102176,l2,balanced,0.5490689859656058,0.0241145056898411,0.5595176912433287,0.0003853249395061,0.4782763391974698,0.0093851490901846,0.0,0.0,0.559992093299071,0.6351820515243182,0.5077683336627793
122,1136,1,1dpos,2dpos,5FTE,LR,16.0,10000.0,53.09952674900958,l1,balanced,0.5517019173749753,0.0502095902671492,0.5646965803518482,8.839960377543491e-05,0.4409567108124135,0.1176502419210129,0.0,0.0,0.5647361138564934,0.631142155171309,0.5113263490808461
3,1017,0,1dpos,2dpos,5FTE,LR,16.0,2500.0,10.587182631275711,l2,balanced,0.562644791460763,0.0153960754851908,0.567859260723463,0.0002931883173392,0.528879225143309,0.0361619754656118,0.0,0.0,0.5682941292745602,0.6336426517475383,0.5157541016011069
123,1137,1,1dpos,2dpos,5FTE,LR,24.0,2500.0,0.0225541652522116,l2,balanced,0.5587784147064637,0.0372894406402716,0.5716149436647558,0.0002577269185689,0.4834156948013441,0.093471201201956,0.0,0.0,0.5720498122158529,0.6345930022263169,0.5187191144494959
4,1018,0,1dpos,2dpos,5FTE,LR,16.0,5000.0,226.1109598154488,l2,,0.5592093299070963,0.0371062849760808,0.5675825261909468,0.000108266961357,0.4932595374579957,0.1039961883946468,0.0,0.0,0.5677011267048824,0.633326746704612,0.5156750345918166
124,1138,1,1dpos,2dpos,5FTE,LR,24.0,5000.0,0.2128505877181714,l1,,0.5530262897805891,0.0422925654459172,0.5709428740857876,0.0002651988113263,0.4483890096857086,0.0738726139753797,0.0,0.0,0.5712591421229491,0.6354882427261085,0.5186005139355604
5,1019,0,1dpos,2dpos,5FTE,LR,16.0,10000.0,143.11823958025988,l2,,0.5627950187784146,0.0170752133205565,0.5680569282466891,0.000380221072577,0.5289582921525993,0.0443544516429526,0.0,0.0,0.5686894643210121,0.6338392289903462,0.5161099031429136
125,1139,1,1dpos,2dpos,5FTE,LR,24.0,10000.0,0.014345568137612,l2,,0.5614350662186203,0.0362565133481777,0.5712591421229491,0.0001976675232259,0.4950780786716743,0.0996688969755276,0.0,0.0,0.5714568096461752,0.635482643239259,0.5190749159913026
6,1020,0,1dpos,2dpos,5FTE,LR,24.0,2500.0,1302.2510179682702,l2,balanced,0.5630045463530342,0.0512836750709606,0.5776240363708243,0.0005660336455139,0.4543585688871318,0.1255041369227555,0.0,0.0,0.5785728404823087,0.640016213449397,0.5249258746787903
