Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,780,0,1dpos,2dpos,5FTE,NN,8,2500,3,128,512,256,0.0010651,300,0.48522866,2.00E-05,0.593990907,0.012540757,0.607629966,0.000838632,0.568452263,0.016264927,4.22,10.8,0.608222969,0.635853034,0.545601898
1,781,0,1dpos,2dpos,5FTE,NN,8,5000,2,256,512,,0.002038679,400,0.370669325,0.000147872,0.593975094,0.007239988,0.604427753,0.001261051,0.578730975,0.001753568,3.14,6.2,0.606641629,0.630583274,0.539474204
2,782,0,1dpos,2dpos,5FTE,NN,8,10000,3,256,512,128,0.001296985,200,0.378711993,0.000366388,0.594334849,0.024618408,0.607867167,0.001229676,0.550187784,0.065270193,3.46,8,0.609408974,0.633349789,0.542043882
3,783,0,1dpos,2dpos,5FTE,NN,16,2500,3,512,512,256,0.001045566,500,0.495646738,0.000144484,0.604340779,0.011362349,0.620359755,0.004771941,0.58082625,0.002832238,6.68,13.2,0.627396719,0.618587806,0.546827436
4,784,0,1dpos,2dpos,5FTE,NN,16,5000,3,128,512,128,0.001355309,300,0.420079617,0.000124318,0.604977268,0.014394795,0.622771299,0.003108475,0.573512552,0.017933685,3.86,7.4,0.627199051,0.630668789,0.549594782
5,785,0,1dpos,2dpos,5FTE,NN,16,10000,1,128,,,0.001437681,300,0.290316789,1.01E-05,0.604087764,0.010955689,0.617078474,0.000646587,0.579165843,0.00534982,3.26,8.4,0.61771101,0.637252809,0.552915596
6,786,0,1dpos,2dpos,5FTE,NN,24,2500,1,128,,,0.001278475,400,0.400756976,0.000233203,0.597125914,0.041406742,0.614983198,0.001908285,0.520656256,0.111543347,4.54,15.2,0.618106345,0.630370742,0.553113263
7,787,0,1dpos,2dpos,5FTE,NN,24,5000,1,128,,,0.00138395,500,0.396210687,0.000304542,0.603158727,0.010366687,0.615259933,0.000720877,0.580865784,0.006387751,3.02,7.2,0.616525005,0.631302914,0.553943467
8,788,0,1dpos,2dpos,5FTE,NN,24,10000,2,256,512,,0.001029328,300,0.411893084,3.70E-05,0.601494366,0.020891165,0.619331884,0.001350808,0.553943467,0.036737348,4.68,11.8,0.621071358,0.618336702,0.547539039
9,789,0,1dpos,2dpos,WTE,NN,8,2500,2,128,512,,0.002605746,300,0.452269168,0.000147233,0.595516901,0.010225202,0.607629966,0.000609252,0.574066021,0.006887799,4.92,8.4,0.608420636,0.632619933,0.543388021
10,790,0,1dpos,2dpos,WTE,NN,8,5000,2,512,256,,0.001516456,500,0.442069229,6.93E-05,0.594516703,0.009014992,0.607155564,0.00335045,0.577070567,0.001387902,6.32,14.6,0.612373987,0.631042563,0.540264874
11,791,0,1dpos,2dpos,WTE,NN,8,10000,3,512,512,128,0.001713411,400,0.382773585,0.000788932,0.593152797,0.011745779,0.606799763,0.001882517,0.567898794,0.015237717,6.66,11.8,0.609408974,0.619451777,0.534611583
12,792,0,1dpos,2dpos,WTE,NN,16,2500,2,256,128,,0.003752659,300,0.341949855,9.01E-05,0.602573631,0.010961383,0.615497134,0.00157763,0.578928642,0.005685132,3.22,12.6,0.61771101,0.637316024,0.555010872
13,793,0,1dpos,2dpos,WTE,NN,16,5000,3,256,128,512,0.001197486,300,0.494901079,0.000985739,0.604135205,0.011871237,0.617118008,0.001362329,0.577465902,0.006596885,4.92,10.2,0.618699348,0.623169597,0.547222771
14,794,0,1dpos,2dpos,WTE,NN,16,10000,1,512,,,0.004615442,300,0.346087937,0.000895082,0.603680569,0.011086979,0.615813402,0.001798666,0.578375173,0.011829538,3.42,8.4,0.618106345,0.630050938,0.550345918
15,795,0,1dpos,2dpos,WTE,NN,24,2500,2,128,256,,0.00146731,300,0.445574967,6.29E-05,0.599580945,0.015734746,0.615536667,0.001257948,0.563629176,0.018784448,3.14,7.8,0.617315675,0.624709029,0.549515715
16,796,0,1dpos,2dpos,WTE,NN,24,5000,1,128,,,0.001014771,500,0.424037594,3.00E-05,0.601672267,0.011771308,0.618264479,0.001314155,0.577979838,0.004986944,3.64,9.6,0.620280688,0.632512292,0.556631745
17,797,0,1dpos,2dpos,WTE,NN,24,10000,1,512,,,0.0012347,200,0.128227401,0.000895718,0.604198458,0.00903259,0.61838308,0.00270523,0.587626013,0.006541571,3.12,9,0.622652698,0.62739662,0.552124926
18,798,0,1dpos,2dpos,onehot,NN,8,2500,2,256,512,,0.002248357,500,0.480968114,0.000745955,0.593678593,0.009468952,0.605613758,0.000941777,0.573512552,0.004071663,2.64,7.4,0.606839296,0.641005746,0.549001779
19,799,0,1dpos,2dpos,onehot,NN,8,5000,2,256,512,,0.001024998,500,0.439110117,0.000161442,0.594358569,0.009910529,0.607116031,0.002818409,0.573789286,0.001747989,3.9,10.2,0.610199644,0.633685496,0.54765764
20,800,0,1dpos,2dpos,onehot,NN,8,10000,2,512,128,,0.001782985,300,0.477516079,2.03E-05,0.593188377,0.014635921,0.609408974,0.002266722,0.558964222,0.006088352,5.26,12.6,0.612373987,0.635632584,0.543862423
