Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,234,0,1dpos,2dpos,5FTE,RF,8,2500,850,50,2,1,sqrt,0.780745542,0.615797588,0.017890084,0.627238585,0.001501493,0.57066614,0.028257124,6.22,13.4,0.628978059,0.662453642,0.581577387
1,235,0,1dpos,2dpos,5FTE,RF,8,5000,200,35,3,1,sqrt,0.926880819,0.613318838,0.021773636,0.627831587,0.001797579,0.557303815,0.030357446,6.42,11.4,0.629373394,0.663227436,0.581933188
2,236,0,1dpos,2dpos,5FTE,RF,8,10000,250,30,4,2,sqrt,0.914439693,0.612899783,0.020867512,0.626487448,0.001013709,0.558766555,0.024411099,6.46,12.8,0.627989721,0.66199489,0.581577387
3,237,0,1dpos,2dpos,5FTE,RF,16,2500,750,20,4,1,sqrt,0.784863004,0.616090136,0.020082396,0.628266456,0.001657345,0.56536865,0.030340645,8.6,13.2,0.630559399,0.657911453,0.583158727
4,238,0,1dpos,2dpos,5FTE,RF,16,5000,700,40,7,1,sqrt,0.774656455,0.617256375,0.020880792,0.629847796,0.001323044,0.564459379,0.031684384,8.54,14.8,0.631350069,0.65784087,0.583474995
5,239,0,1dpos,2dpos,5FTE,RF,16,10000,300,30,3,2,sqrt,0.873255673,0.614734137,0.026953683,0.630875667,0.000922919,0.541134612,0.025859944,5.18,10,0.632140739,0.65890903,0.582961059
6,240,0,1dpos,2dpos,5FTE,RF,24,2500,350,40,4,1,sqrt,0.820091201,0.617086381,0.024829997,0.631073335,0.000385325,0.552243526,0.037141091,7.3,15.8,0.631547737,0.65963967,0.583909864
7,241,0,1dpos,2dpos,5FTE,RF,24,5000,200,30,7,1,sqrt,0.734167387,0.618987942,0.019233987,0.632022139,0.001223305,0.572919549,0.034627548,6.12,12.4,0.633524412,0.659528143,0.584502866
8,242,0,1dpos,2dpos,5FTE,RF,24,10000,600,25,3,2,sqrt,0.823164114,0.619770706,0.020588279,0.631310536,0.000690423,0.570745207,0.03995002,9.52,16.4,0.631943072,0.659174299,0.585530737
9,243,0,1dpos,2dpos,WTE,RF,8,2500,900,45,2,1,log2,0.92149271,0.615892469,0.022431527,0.629650128,0.001123406,0.556789879,0.030821368,10.16,16.6,0.630954734,0.661542141,0.583672663
10,244,0,1dpos,2dpos,WTE,RF,8,5000,550,30,6,2,sqrt,0.83157117,0.613235817,0.024838005,0.629057126,0.000912274,0.546155367,0.022167423,5.86,12.2,0.629966397,0.661481325,0.582961059
11,245,0,1dpos,2dpos,WTE,RF,8,10000,500,40,3,1,sqrt,0.818704747,0.617011267,0.019127353,0.631350069,0.002392512,0.568333663,0.025840597,8.04,14.4,0.635501087,0.662623939,0.585491204
12,246,0,1dpos,2dpos,WTE,RF,16,2500,900,40,3,2,log2,0.982779317,0.618663768,0.020442312,0.630124531,0.000783222,0.56762206,0.03526762,9.68,15,0.631152402,0.658857544,0.58307966
13,247,0,1dpos,2dpos,WTE,RF,16,5000,450,30,5,2,sqrt,0.818094519,0.618066812,0.024246584,0.632931409,0.000463571,0.555248073,0.033392065,8.08,13.2,0.633524412,0.659075914,0.584977268
14,248,0,1dpos,2dpos,WTE,RF,16,10000,200,20,7,1,sqrt,0.904359171,0.613607432,0.030167922,0.631666337,0.001182706,0.52848389,0.002145398,5.26,11.6,0.633129077,0.659381275,0.584898201
15,249,0,1dpos,2dpos,WTE,RF,24,2500,250,40,4,1,sqrt,0.60106656,0.616536865,0.024719795,0.63237794,0.000548505,0.552124926,0.031389142,7.24,13,0.633326744,0.66211207,0.584858668
16,250,0,1dpos,2dpos,WTE,RF,24,5000,850,35,3,1,sqrt,0.972124795,0.618323779,0.023887738,0.632931409,0.000752696,0.554931805,0.028143718,11.12,19.4,0.633722079,0.660575992,0.586440008
17,251,0,1dpos,2dpos,WTE,RF,24,10000,500,35,6,1,sqrt,0.861887713,0.617679383,0.025695362,0.633682546,0.000428533,0.550385452,0.028516786,6.6,12.6,0.634315082,0.659797576,0.585254003
18,252,0,1dpos,2dpos,onehot,RF,8,2500,400,30,3,1,sqrt,0.788641751,0.617311722,0.022717378,0.63305001,0.001166071,0.559913026,0.02910301,7.4,12.8,0.634710417,0.662727521,0.587230678
19,253,0,1dpos,2dpos,onehot,RF,8,5000,1000,50,3,1,sqrt,0.808508488,0.617624036,0.026461369,0.634077881,0.000704429,0.547143704,0.025456553,11.2,18.2,0.635105752,0.662720262,0.586677209
20,254,0,1dpos,2dpos,onehot,RF,8,10000,750,30,3,1,sqrt,0.958745131,0.61766357,0.022543811,0.632694208,0.00051165,0.560110694,0.0293137,9.42,17.4,0.633326744,0.662070899,0.586400474
21,255,0,1dpos,2dpos,onehot,RF,16,2500,950,35,5,2,sqrt,0.769209769,0.620193714,0.024881865,0.634196482,0.000984376,0.554141135,0.032884356,10.4,15.4,0.635501087,0.661022708,0.587388812
22,256,0,1dpos,2dpos,onehot,RF,16,5000,1000,30,4,1,sqrt,0.833774251,0.618584701,0.024491314,0.632654675,0.000476046,0.554813204,0.028623732,9.04,16.2,0.633129077,0.660204085,0.585056335
23,257,0,1dpos,2dpos,onehot,RF,16,10000,950,20,3,2,sqrt,0.999296565,0.619913026,0.024782668,0.633682546,0.000548505,0.555762008,0.030685169,10.5,17.4,0.634315082,0.659880973,0.585530737
24,258,0,1dpos,2dpos,onehot,RF,24,2500,750,35,4,1,sqrt,0.996933268,0.619644198,0.02487953,0.635619688,0.001032801,0.554773671,0.0272425,9.74,16,0.636687092,0.661953242,0.587151611
25,259,0,1dpos,2dpos,onehot,RF,24,5000,550,25,9,1,log2,0.809981987,0.617964025,0.023155719,0.630717533,0.000819784,0.555089939,0.028491358,8.14,13.8,0.631943072,0.65764712,0.58375173
26,260,0,1dpos,2dpos,onehot,RF,24,10000,350,30,7,2,log2,0.785871772,0.619114449,0.021457116,0.631152402,0.000441998,0.565329116,0.037014794,8.2,12.2,0.631745404,0.66172397,0.585214469
27,261,0,1dpos,elliptic,5FTE,RF,,,250,30,2,1,sqrt,0.855994384,0.616687092,0.016434336,0.628503657,0.000265199,0.576951967,0.02604505,6.18,10.6,0.628780391,0.666475218,0.582209923
28,262,0,1dpos,elliptic,WTE,RF,,,700,25,3,1,log2,0.750054518,0.616734533,0.0196873,0.629096659,0.000409892,0.566791856,0.026945789,6.3,10.4,0.629571061,0.664070815,0.581695987
29,263,0,1dpos,elliptic,onehot,RF,,,250,25,4,2,sqrt,0.914940728,0.617857284,0.01913438,0.630638466,0.001496279,0.569677802,0.027806559,6.46,10.2,0.632931409,0.663803785,0.58161692
30,264,0,1dpos,polar,5FTE,RF,,,450,35,4,1,log2,0.98884901,0.614923898,0.019687091,0.629096659,0.001207229,0.565091915,0.026385986,5.92,10.4,0.630361732,0.663528259,0.581458786
31,265,0,1dpos,polar,WTE,RF,,,900,40,9,2,sqrt,0.974105481,0.617062661,0.022527233,0.630282665,0.000409892,0.55532714,0.020407485,7,12.4,0.630559399,0.660784976,0.583356395
32,266,0,1dpos,polar,onehot,RF,,,250,30,4,1,sqrt,0.775366003,0.61618897,0.020346699,0.62988733,0.000845592,0.564419846,0.026788362,5,10.2,0.631152402,0.660919713,0.581300652
