Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,n_units_layer_3,lrate,nEpoch,dropout_prob,weight_decay,obj
0,0,raw,raw,onehot,NN,2,256,128,,,0.006052489,300,0.285605812,0.000738877,0.621314113
1,0,raw,zone,onehot,NN,2,256,128,,,0.001961827,500,0.155528102,0.001994417,0.617592876
2,0,raw,2dpos,onehot,NN,3,128,128,128,,0.003699748,500,0.240977713,3.60E-05,0.599080139
3,0,raw,polar,onehot,NN,3,256,128,64,,0.019839252,300,0.180099016,0.000990472,0.621971408
4,0,raw,elliptic,onehot,NN,2,512,64,,,0.006774479,300,0.223890609,0.000392414,0.616856939
5,0,addDur,raw,onehot,NN,3,64,128,256,,0.005323646,500,0.145977489,0.00087926,0.625789877
6,0,addDur,zone,onehot,NN,2,128,128,,,0.001673081,500,0.334858083,0.000641846,0.617341212
7,0,addDur,2dpos,onehot,NN,2,512,128,,,0.004021086,300,0.399275055,4.65E-05,0.599527159
8,0,addDur,polar,onehot,NN,2,512,256,,,0.008384038,500,0.326313747,0.000586516,0.622921268
9,0,addDur,elliptic,onehot,NN,2,256,512,,,0.001779578,500,0.206266689,0.000835305,0.618526618
10,0,cyclic,raw,onehot,NN,2,512,64,,,0.006739798,500,0.180767322,0.000904555,0.619800099
11,0,cyclic,zone,onehot,NN,1,256,,,,0.012508648,500,0.155961764,0.003186216,0.617936338
12,0,cyclic,2dpos,onehot,NN,2,256,256,,,0.001898113,500,0.354670647,0.000182678,0.599980048
13,0,cyclic,polar,onehot,NN,2,512,256,,,0.004384453,500,0.345139374,0.000765873,0.623683938
14,0,cyclic,elliptic,onehot,NN,2,128,256,,,0.007397302,300,0.21769588,0.001513699,0.616986227
15,0,1dpos,raw,onehot,NN,2,64,512,,,0.007794118,500,0.375372009,0.000335183,0.516042881
16,0,1dpos,zone,onehot,NN,1,512,,,,0.06211903,500,0.292612458,0.001136106,0.525319661
17,0,1dpos,2dpos,onehot,NN,2,64,64,,,0.011362799,500,0.133256272,0.000205734,0.463549263
18,0,1dpos,polar,onehot,NN,2,256,64,,,0.00726699,500,0.15616269,0.001046173,0.515309984
19,0,1dpos,elliptic,onehot,NN,2,64,512,,,0.002587479,500,0.262386083,0.000373332,0.509821605
