Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,obj
0,0,raw,raw,onehot,RF,250,25,9,2,,0.636110833
1,0,raw,zone,onehot,RF,675,25,8,1,log2,0.619437863
2,0,raw,2dpos,onehot,RF,600,20,5,1,sqrt,0.650054919
3,0,raw,polar,onehot,RF,275,35,2,2,,0.636568964
4,0,raw,elliptic,onehot,RF,300,100,3,3,,0.63764838
5,0,addDur,raw,onehot,RF,175,75,9,2,,0.635672441
6,0,addDur,zone,onehot,RF,550,20,6,1,log2,0.620242657
7,0,addDur,2dpos,onehot,RF,550,50,3,2,sqrt,0.651089257
8,0,addDur,polar,onehot,RF,475,95,4,2,,0.635526676
9,0,addDur,elliptic,onehot,RF,500,80,10,2,,0.636216043
10,0,cyclic,raw,onehot,RF,675,40,9,2,,0.634220686
11,0,cyclic,zone,onehot,RF,725,70,2,2,sqrt,0.616705021
12,0,cyclic,2dpos,onehot,RF,325,80,4,2,log2,0.646675088
13,0,cyclic,polar,onehot,RF,525,15,3,1,,0.633146275
14,0,cyclic,elliptic,onehot,RF,300,35,4,2,,0.636493391
15,0,1dpos,raw,onehot,RF,475,35,2,2,sqrt,0.55404306
16,0,1dpos,zone,onehot,RF,875,50,10,1,log2,0.53341504
17,0,1dpos,2dpos,onehot,RF,500,65,3,3,log2,0.568469653
18,0,1dpos,polar,onehot,RF,775,25,5,4,,0.548688457
19,0,1dpos,elliptic,onehot,RF,700,100,2,3,,0.550116901
20,1,raw,raw,onehot,RF,850,50,4,2,log2,0.636648623
21,1,raw,zone,onehot,RF,550,20,5,1,log2,0.619819721
22,1,raw,2dpos,onehot,RF,500,,6,1,sqrt,0.650416312
23,1,raw,polar,onehot,RF,525,25,8,1,,0.634494732
24,1,raw,elliptic,onehot,RF,450,60,6,2,,0.636477228
25,1,addDur,raw,onehot,RF,275,90,8,2,,0.63465736
26,1,addDur,zone,onehot,RF,200,90,3,2,sqrt,0.619604957
27,1,addDur,2dpos,onehot,RF,450,85,6,1,sqrt,0.649371251
28,1,addDur,polar,onehot,RF,275,50,3,2,,0.635535243
29,1,addDur,elliptic,onehot,RF,375,60,6,3,,0.636556463
30,1,cyclic,raw,onehot,RF,800,45,5,6,,0.633726038
31,1,cyclic,zone,onehot,RF,375,25,3,2,log2,0.616975519
32,1,cyclic,2dpos,onehot,RF,450,95,7,1,log2,0.64550722
33,1,cyclic,polar,onehot,RF,150,90,2,2,,0.634047809
34,1,cyclic,elliptic,onehot,RF,350,40,10,1,,0.636316255
35,1,1dpos,raw,onehot,RF,950,55,3,1,sqrt,0.554826315
36,1,1dpos,zone,onehot,RF,625,35,4,2,sqrt,0.533978431
37,1,1dpos,2dpos,onehot,RF,600,95,6,1,log2,0.571102312
38,1,1dpos,polar,onehot,RF,825,30,2,3,,0.549927248
39,1,1dpos,elliptic,onehot,RF,475,95,2,3,sqrt,0.550414674
40,2,raw,raw,onehot,RF,950,95,8,2,,0.635394276
41,2,raw,zone,onehot,RF,375,70,8,2,sqrt,0.617937786
42,2,raw,2dpos,onehot,RF,775,90,5,1,sqrt,0.651392927
43,2,raw,polar,onehot,RF,275,60,4,2,,0.6376097
44,2,raw,elliptic,onehot,RF,300,,6,3,,0.637574695
45,2,addDur,raw,onehot,RF,200,20,8,2,,0.63640904
46,2,addDur,zone,onehot,RF,150,,2,2,sqrt,0.619717544
47,2,addDur,2dpos,onehot,RF,225,60,6,1,log2,0.650872826
48,2,addDur,polar,onehot,RF,475,95,3,2,,0.635723328
49,2,addDur,elliptic,onehot,RF,775,,5,3,,0.635783564
50,2,cyclic,raw,onehot,RF,825,75,7,3,,0.633584089
51,2,cyclic,zone,onehot,RF,275,20,6,1,log2,0.616844239
52,2,cyclic,2dpos,onehot,RF,550,50,7,1,log2,0.645995183
53,2,cyclic,polar,onehot,RF,550,60,8,2,,0.633375598
54,2,cyclic,elliptic,onehot,RF,300,85,4,2,,0.637380105
55,2,1dpos,raw,onehot,RF,450,,4,1,sqrt,0.555419511
56,2,1dpos,zone,onehot,RF,775,100,4,2,log2,0.534137584
57,2,1dpos,2dpos,onehot,RF,225,,3,3,sqrt,0.570863324
58,2,1dpos,polar,onehot,RF,775,55,4,4,,0.549642366
59,2,1dpos,elliptic,onehot,RF,300,100,9,1,log2,0.550565617
60,3,raw,raw,onehot,RF,300,75,3,2,log2,0.635989536
61,3,raw,zone,onehot,RF,850,40,8,2,log2,0.619209942
62,3,raw,2dpos,onehot,RF,75,80,7,1,sqrt,0.650108501
63,3,raw,polar,onehot,RF,300,30,6,1,,0.636823902
64,3,raw,elliptic,onehot,RF,425,40,6,2,,0.637656956
65,3,addDur,raw,onehot,RF,775,90,4,1,sqrt,0.6350107
66,3,addDur,zone,onehot,RF,675,75,3,2,log2,0.621993225
67,3,addDur,2dpos,onehot,RF,150,20,4,2,sqrt,0.649916355
68,3,addDur,polar,onehot,RF,300,45,2,2,,0.634598927
69,3,addDur,elliptic,onehot,RF,500,95,5,3,,0.635727466
70,3,cyclic,raw,onehot,RF,500,45,9,2,,0.635824208
71,3,cyclic,zone,onehot,RF,800,80,9,1,log2,0.61715206
72,3,cyclic,2dpos,onehot,RF,450,45,6,1,log2,0.645144301
73,3,cyclic,polar,onehot,RF,625,70,9,1,,0.635123819
74,3,cyclic,elliptic,onehot,RF,300,75,2,2,,0.637886567
75,3,1dpos,raw,onehot,RF,600,50,3,1,sqrt,0.555830676
76,3,1dpos,zone,onehot,RF,600,55,5,2,sqrt,0.534461758
77,3,1dpos,2dpos,onehot,RF,950,95,10,1,log2,0.570482972
78,3,1dpos,polar,onehot,RF,900,95,4,3,,0.549624711
79,3,1dpos,elliptic,onehot,RF,725,45,5,1,log2,0.55055936
80,4,raw,raw,onehot,RF,250,20,6,1,log2,0.635158979
81,4,raw,zone,onehot,RF,725,70,7,1,log2,0.619367871
82,4,raw,2dpos,onehot,RF,350,20,2,2,sqrt,0.650579181
83,4,raw,polar,onehot,RF,225,65,5,1,,0.635865366
84,4,raw,elliptic,onehot,RF,250,50,5,2,,0.637141265
85,4,addDur,raw,onehot,RF,450,30,8,1,log2,0.63633141
86,4,addDur,zone,onehot,RF,650,45,4,2,sqrt,0.619246239
87,4,addDur,2dpos,onehot,RF,800,70,5,1,log2,0.650011799
88,4,addDur,polar,onehot,RF,175,20,9,1,,0.632885893
89,4,addDur,elliptic,onehot,RF,275,35,3,3,,0.634676485
90,4,cyclic,raw,onehot,RF,675,50,9,2,,0.633942569
91,4,cyclic,zone,onehot,RF,975,25,5,1,log2,0.616205392
92,4,cyclic,2dpos,onehot,RF,1000,,6,1,log2,0.645255798
93,4,cyclic,polar,onehot,RF,250,55,4,1,,0.634437792
94,4,cyclic,elliptic,onehot,RF,250,45,7,3,,0.636756802
95,4,1dpos,raw,onehot,RF,175,75,10,1,,0.555126055
96,4,1dpos,zone,onehot,RF,625,60,4,2,sqrt,0.534977449
97,4,1dpos,2dpos,onehot,RF,650,100,7,1,sqrt,0.570658786
98,4,1dpos,polar,onehot,RF,900,50,2,4,,0.550472384
99,4,1dpos,elliptic,onehot,RF,350,35,9,1,sqrt,0.554001301
100,5,raw,raw,onehot,RF,400,,4,2,log2,0.635012712
101,5,raw,zone,onehot,RF,900,70,3,2,log2,0.61947098
102,5,raw,2dpos,onehot,RF,525,70,6,2,sqrt,0.649271572
103,5,raw,polar,onehot,RF,275,90,3,2,,0.636528386
104,5,raw,elliptic,onehot,RF,300,100,3,3,,0.637118594
105,5,addDur,raw,onehot,RF,450,45,5,3,log2,0.635761524
106,5,addDur,zone,onehot,RF,300,60,9,1,log2,0.622910294
107,5,addDur,2dpos,onehot,RF,275,70,7,1,sqrt,0.651511606
108,5,addDur,polar,onehot,RF,275,,3,1,log2,0.632309233
109,5,addDur,elliptic,onehot,RF,1000,,9,2,,0.634120786
110,5,cyclic,raw,onehot,RF,1000,30,8,2,,0.634489178
111,5,cyclic,zone,onehot,RF,550,50,8,1,log2,0.615216353
112,5,cyclic,2dpos,onehot,RF,825,60,3,2,sqrt,0.645102225
113,5,cyclic,polar,onehot,RF,375,75,3,2,,0.633629184
114,5,cyclic,elliptic,onehot,RF,325,50,5,1,,0.636004263
115,5,1dpos,raw,onehot,RF,350,25,10,2,,0.555426819
116,5,1dpos,zone,onehot,RF,450,75,9,1,log2,0.532904325
117,5,1dpos,2dpos,onehot,RF,825,20,8,1,sqrt,0.570207617
118,5,1dpos,polar,onehot,RF,700,100,9,4,,0.550848927
119,5,1dpos,elliptic,onehot,RF,850,50,4,1,log2,0.54886343
120,6,raw,raw,onehot,RF,200,50,3,1,log2,0.63862381
121,6,raw,zone,onehot,RF,925,20,8,1,log2,0.618514822
122,6,raw,2dpos,onehot,RF,600,30,5,1,log2,0.649607918
123,6,raw,polar,onehot,RF,300,35,4,2,,0.635848711
124,6,raw,elliptic,onehot,RF,250,80,8,3,,0.635899011
125,6,addDur,raw,onehot,RF,675,30,9,1,,0.635032204
126,6,addDur,zone,onehot,RF,400,85,2,2,log2,0.620017904
127,6,addDur,2dpos,onehot,RF,400,30,5,1,sqrt,0.651099154
128,6,addDur,polar,onehot,RF,375,40,2,2,,0.634824856
129,6,addDur,elliptic,onehot,RF,350,95,7,3,,0.635169128
130,6,cyclic,raw,onehot,RF,800,90,3,6,,0.633971154
131,6,cyclic,zone,onehot,RF,800,35,10,1,log2,0.615143074
132,6,cyclic,2dpos,onehot,RF,250,35,6,1,log2,0.645832835
133,6,cyclic,polar,onehot,RF,250,75,4,1,,0.633272374
134,6,cyclic,elliptic,onehot,RF,425,95,4,2,,0.637205207
135,6,1dpos,raw,onehot,RF,675,45,4,1,sqrt,0.555057057
136,6,1dpos,zone,onehot,RF,475,70,3,2,sqrt,0.537121556
137,6,1dpos,2dpos,onehot,RF,650,65,7,1,sqrt,0.569675713
138,6,1dpos,polar,onehot,RF,925,75,10,4,,0.550069264
139,6,1dpos,elliptic,onehot,RF,375,75,2,1,sqrt,0.551868665
140,7,raw,raw,onehot,RF,600,30,10,1,,0.635905432
141,7,raw,zone,onehot,RF,350,20,10,1,log2,0.619806274
142,7,raw,2dpos,onehot,RF,950,70,5,2,sqrt,0.649578236
143,7,raw,polar,onehot,RF,200,95,2,2,,0.635874924
144,7,raw,elliptic,onehot,RF,475,20,3,3,,0.634834326
145,7,addDur,raw,onehot,RF,750,65,6,2,log2,0.635071806
146,7,addDur,zone,onehot,RF,850,90,6,2,sqrt,0.620166884
147,7,addDur,2dpos,onehot,RF,200,60,2,2,sqrt,0.651159818
148,7,addDur,polar,onehot,RF,750,30,6,1,,0.632633374
149,7,addDur,elliptic,onehot,RF,775,70,7,3,,0.634575889
150,7,cyclic,raw,onehot,RF,800,75,7,6,,0.634334453
151,7,cyclic,zone,onehot,RF,925,30,7,1,log2,0.616885006
152,7,cyclic,2dpos,onehot,RF,950,95,7,1,log2,0.646620935
153,7,cyclic,polar,onehot,RF,275,80,6,1,,0.633314664
154,7,cyclic,elliptic,onehot,RF,375,65,5,2,,0.637233172
155,7,1dpos,raw,onehot,RF,850,60,2,2,log2,0.554645537
156,7,1dpos,zone,onehot,RF,425,70,3,2,sqrt,0.533474282
157,7,1dpos,2dpos,onehot,RF,475,,8,1,log2,0.571729995
158,7,1dpos,polar,onehot,RF,750,35,4,4,,0.549847535
159,7,1dpos,elliptic,onehot,RF,1000,45,7,1,sqrt,0.54973904
160,8,raw,raw,onehot,RF,250,55,9,2,,0.6361908
