Index,opt,timeOpt,locOpt,catOpt,modelOpt,kernel,C,class_weight,degree,coef0,gamma,obj
0,0,raw,raw,onehot,SV,poly,0.064069433,,3,0.598566449,0.15991297,0.595687788
1,0,raw,zone,onehot,SV,poly,0.073572832,,3,0.924479873,0.140957238,0.613492703
2,0,raw,2dpos,onehot,SV,poly,0.971456776,balanced,3,0.828275338,0.001213958,0.554745031
3,0,raw,polar,onehot,SV,rbf,0.844500089,,,,0.209950781,0.609841759
4,0,raw,elliptic,onehot,SV,rbf,0.898317853,,,,0.272646916,0.610962696
5,0,addDur,raw,onehot,SV,rbf,1.200855335,,,,0.542514154,0.601301485
6,0,addDur,zone,onehot,SV,rbf,4.397412964,,,,0.062330436,0.614422505
7,0,addDur,2dpos,onehot,SV,poly,0.230614183,balanced,2,0.729391475,0.011672968,0.550821504
8,0,addDur,polar,onehot,SV,poly,1.17691517,,3,0.691734828,0.052507675,0.602543639
9,0,addDur,elliptic,onehot,SV,rbf,1.182339423,,,,0.152454738,0.607708931
10,0,cyclic,raw,onehot,SV,poly,0.036108756,balanced,2,0.423928809,0.10113867,0.560428374
11,0,cyclic,zone,onehot,SV,poly,5.615643057,,3,0.0303485,0.03117267,0.609709268
12,0,cyclic,2dpos,onehot,SV,poly,0.019444313,balanced,3,-0.161575022,0.060872167,0.564106545
13,0,cyclic,polar,onehot,SV,rbf,1.569677384,,,,0.221309751,0.609909575
14,0,cyclic,elliptic,onehot,SV,rbf,1.271967806,,,,0.196599966,0.609732133
15,0,1dpos,raw,onehot,SV,poly,0.024295742,,3,0.467892026,0.307924751,0.471134651
16,0,1dpos,zone,onehot,SV,rbf,9.845491125,,,,0.030786204,0.520296878
17,0,1dpos,2dpos,onehot,SV,poly,0.085088541,balanced,2,-0.938294106,0.120846966,0.369456235
18,0,1dpos,polar,onehot,SV,rbf,2.040041785,,,,0.09924824,0.492307641
19,0,1dpos,elliptic,onehot,SV,rbf,1.130762737,,,,0.109316839,0.497311641
20,1,raw,raw,onehot,SV,poly,8.831742643,,2,0.298240315,0.547882808,0.589702776
21,1,raw,zone,onehot,SV,rbf,1.6909163,,,,0.11699793,0.614709973
22,1,raw,2dpos,onehot,SV,rbf,0.008883143,balanced,,,0.274729748,0.567761459
23,1,raw,polar,onehot,SV,poly,1.964498276,,3,0.532487877,0.058483309,0.604096722
24,1,raw,elliptic,onehot,SV,poly,0.104978491,,3,0.889084679,0.142400682,0.602702849
25,1,addDur,raw,onehot,SV,poly,0.005801207,,3,0.309413704,0.429599359,0.59407526
