Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
0,0,raw,raw,onehot,XG,12,0.026257469,172,0.919543026,0.627380488,0.654722585
1,0,raw,zone,onehot,XG,6,0.090741139,98,0.818137815,0.601095772,0.619200189
2,0,raw,2dpos,onehot,XG,11,0.023770971,251,0.837695399,0.678245429,0.65236424
3,0,raw,polar,onehot,XG,8,0.050008559,257,0.987496546,0.677060424,0.645225741
4,0,raw,elliptic,onehot,XG,10,0.055957625,166,0.866910502,0.844362515,0.64743914
5,0,addDur,raw,onehot,XG,15,0.019271581,194,0.749871324,0.923408524,0.649571081
6,0,addDur,zone,onehot,XG,4,0.105811427,116,0.669712775,0.908569569,0.619235553
7,0,addDur,2dpos,onehot,XG,13,0.03833063,143,0.870213222,0.619545179,0.653593227
8,0,addDur,polar,onehot,XG,9,0.041186983,242,0.914082188,0.610887708,0.647611956
9,0,addDur,elliptic,onehot,XG,10,0.047418226,150,0.732500821,0.695304198,0.644954409
10,0,cyclic,raw,onehot,XG,9,0.07558112,167,0.706985009,0.63450129,0.649565722
11,0,cyclic,zone,onehot,XG,6,0.040784241,275,0.83893158,0.732052277,0.616437835
12,0,cyclic,2dpos,onehot,XG,12,0.031240939,262,0.660242181,0.642713711,0.651537522
13,0,cyclic,polar,onehot,XG,10,0.038804312,257,0.968400064,0.674915676,0.64576295
14,0,cyclic,elliptic,onehot,XG,10,0.035029343,249,0.927419894,0.689332301,0.644854157
15,0,1dpos,raw,onehot,XG,13,0.043508696,272,0.839197367,0.759120978,0.572006436
16,0,1dpos,zone,onehot,XG,10,0.065167406,255,0.878326102,0.737341064,0.546431805
17,0,1dpos,2dpos,onehot,XG,12,0.04902672,153,0.942344268,0.654419466,0.571990567
18,0,1dpos,polar,onehot,XG,10,0.066425465,287,0.991780155,0.610323332,0.570296377
19,0,1dpos,elliptic,onehot,XG,11,0.038812398,251,0.840699921,0.606815288,0.567433429
20,1,raw,raw,onehot,XG,12,0.015754835,295,0.892155686,0.627306352,0.653061944
21,1,raw,zone,onehot,XG,5,0.054796116,245,0.820832449,0.681441742,0.618109155
22,1,raw,2dpos,onehot,XG,14,0.0357627,185,0.696036756,0.681596924,0.65285547
23,1,raw,polar,onehot,XG,12,0.022154187,280,0.749795552,0.634638664,0.649291396
24,1,raw,elliptic,onehot,XG,12,0.024255336,217,0.96512843,0.705878128,0.646731824
25,1,addDur,raw,onehot,XG,11,0.027155892,282,0.836973174,0.850852415,0.650902248
26,1,addDur,zone,onehot,XG,5,0.128197319,95,0.661395992,0.764097177,0.618543426
27,1,addDur,2dpos,onehot,XG,13,0.025152193,182,0.875681907,0.616460962,0.653224035
28,1,addDur,polar,onehot,XG,8,0.068403891,197,0.85057288,0.855465512,0.645242262
29,1,addDur,elliptic,onehot,XG,14,0.026230994,280,0.663920877,0.75775789,0.64471931
30,1,cyclic,raw,onehot,XG,10,0.0282624,299,0.876718841,0.614185954,0.652517284
31,1,cyclic,zone,onehot,XG,6,0.033773031,218,0.788020932,0.641672427,0.617161758
32,1,cyclic,2dpos,onehot,XG,11,0.031938017,228,0.683475807,0.616042901,0.653863053
33,1,cyclic,polar,onehot,XG,13,0.028272385,209,0.847750395,0.663420575,0.644799478
34,1,cyclic,elliptic,onehot,XG,9,0.036102521,280,0.854052275,0.781244611,0.644626403
35,1,1dpos,raw,onehot,XG,9,0.13823436,183,0.98312003,0.743079268,0.57290378
36,1,1dpos,zone,onehot,XG,8,0.069821724,265,0.733040346,0.88400655,0.543823154
37,1,1dpos,2dpos,onehot,XG,9,0.058176242,270,0.740223972,0.631364665,0.574335367
38,1,1dpos,polar,onehot,XG,8,0.152268109,150,0.893701433,0.668653066,0.567460304
39,1,1dpos,elliptic,onehot,XG,12,0.053752382,284,0.944274773,0.783732661,0.564613886
40,2,raw,raw,onehot,XG,12,0.024539353,242,0.737485652,0.668546557,0.652316413
41,2,raw,zone,onehot,XG,4,0.062377702,117,0.657156436,0.879042987,0.618242348
42,2,raw,2dpos,onehot,XG,13,0.034604483,138,0.757232131,0.625127117,0.653383809
43,2,raw,polar,onehot,XG,11,0.020284224,292,0.89497964,0.64875183,0.648448671
44,2,raw,elliptic,onehot,XG,11,0.041328387,135,0.902078316,0.750024751,0.647346726
