Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,kernel,C,class_weight,gamma,degree,coef0,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,0,0,1dpos,2dpos,5FTE,SV,8,2500,poly,0.150070469,balanced,0.058527699,4,-0.054165984,0.502735719,0.149347539,0.606957897,0.001489737,0.131014034,0.028516375,30.98,236.8,0.609211307,0.645736842,0.533386045
1,1,0,1dpos,2dpos,5FTE,SV,8,5000,rbf,1.511319285,balanced,0.072822136,,,0.544008697,0.11787889,0.616564538,0.001614352,0.222731765,0.114831,9.86,42.2,0.619094683,0.648476978,0.553192331
2,2,0,1dpos,2dpos,5FTE,SV,8,10000,rbf,0.657576173,balanced,0.054036081,,,0.52313896,0.13001514,0.614311129,0.002841879,0.206285827,0.103787742,8.14,25.4,0.618304013,0.647172115,0.553587666
3,3,0,1dpos,2dpos,5FTE,SV,16,2500,rbf,1.172295887,balanced,0.039478004,,,0.541850168,0.109687497,0.629136193,0.002361279,0.295750148,0.111860905,14.42,54.2,0.632536074,0.645804558,0.567147658
4,4,0,1dpos,2dpos,5FTE,SV,16,5000,rbf,1.527679955,balanced,0.029723041,,,0.546372801,0.124351,0.631112868,0.001708424,0.225064242,0.068819049,13.08,48.8,0.633524412,0.644387559,0.560624629
5,5,0,1dpos,2dpos,5FTE,SV,16,10000,poly,0.018929887,balanced,0.047942605,4,0.235356951,0.554856691,0.087753327,0.634908085,0.000726277,0.351650524,0.069601988,20.64,97,0.635896422,0.638017187,0.560466495
6,6,0,1dpos,2dpos,5FTE,SV,24,2500,rbf,0.856903518,balanced,0.028968042,,,0.561205772,0.103299955,0.629175726,0.002420923,0.310693813,0.033129926,13.68,41.6,0.632140739,0.640159595,0.559913026
7,7,0,1dpos,2dpos,5FTE,SV,24,5000,rbf,1.596659692,balanced,0.019676509,,,0.539521645,0.127037475,0.627950188,0.002478344,0.22549911,0.09491617,25.98,165.2,0.631943072,0.645118984,0.569440601
8,8,0,1dpos,2dpos,5FTE,SV,24,10000,poly,0.011162219,,0.064620438,3,0.40401442,0.539944653,0.113440973,0.623680569,0.001520884,0.305633524,0.02687348,17.58,69.4,0.625024708,0.639753855,0.566475588
9,9,0,1dpos,2dpos,WTE,SV,8,2500,poly,2.932473882,balanced,0.014688229,4,0.228290234,0.537703103,0.117985887,0.618541214,0.002027417,0.222138763,0.083298441,10.22,20.6,0.621862028,0.646775053,0.544692627
10,10,0,1dpos,2dpos,WTE,SV,8,5000,rbf,1.554947464,,0.097575777,,,0.529452461,0.111817097,0.611306582,0.001534949,0.254793437,0.091353196,96.8,895.4,0.613362325,0.646940373,0.555010872
11,11,0,1dpos,2dpos,WTE,SV,8,10000,rbf,0.798529121,balanced,0.093027183,,,0.558315873,0.072726007,0.61387626,0.002632023,0.37224748,0.051393632,10.14,26,0.617513343,0.647700616,0.552164459
12,12,0,1dpos,2dpos,WTE,SV,16,2500,poly,0.117228259,balanced,0.025559854,4,0.408535233,0.555520854,0.100859007,0.630915201,0.002779321,0.314330895,0.120486293,33.52,234.2,0.634908085,0.642322141,0.558054952
13,13,0,1dpos,2dpos,WTE,SV,16,5000,rbf,1.449646571,balanced,0.030218415,,,0.549598735,0.107487855,0.630164064,0.002826715,0.301680174,0.036267385,39.58,316,0.635105752,0.646493962,0.56311524
14,14,0,1dpos,2dpos,WTE,SV,16,10000,poly,0.024421588,balanced,0.918912687,4,0.489620228,0.523281281,0.126181205,0.608302036,0.000108267,0.244317059,0.044761548,25.78,114.2,0.608420636,0.635507237,0.536706859
15,15,0,1dpos,2dpos,WTE,SV,24,2500,poly,0.048797537,balanced,0.034531469,3,0.263067469,0.537106147,0.120560068,0.634077881,0.002377769,0.237912631,0.113254314,16.56,56,0.637082427,0.639444127,0.564419846
16,16,0,1dpos,2dpos,WTE,SV,24,5000,poly,0.219548593,balanced,0.015528669,3,0.133226957,0.552421427,0.095836419,0.625261909,0.004659674,0.312868156,0.034659071,26.58,107.2,0.632140739,0.642256169,0.551729591
17,17,0,1dpos,2dpos,WTE,SV,24,10000,poly,1.918293217,balanced,0.008206812,4,0.380179792,0.535220399,0.123262148,0.622138763,0.006543362,0.252698162,0.080255522,18.16,69.4,0.633326744,0.641094509,0.559754892
18,18,0,1dpos,2dpos,onehot,SV,8,2500,rbf,1.010126593,balanced,0.058191779,,,0.549938723,0.110308158,0.622850366,0.002073154,0.262344337,0.092953812,10.4,31.6,0.626210714,0.648202832,0.556275944
19,19,0,1dpos,2dpos,onehot,SV,8,5000,poly,0.63777765,balanced,0.971030874,4,-0.471042059,0.540415102,0.114124357,0.598300059,0.000405098,0.232140739,0.111208283,42.46,319.2,0.598932595,0.640761681,0.527456019
20,20,0,1dpos,2dpos,onehot,SV,8,10000,poly,0.05381772,balanced,0.047497986,4,0.471908281,0.554781577,0.106914566,0.622850366,0.001751339,0.275864795,0.142992719,9.96,28,0.625815379,0.648419006,0.554417869
21,21,0,1dpos,2dpos,onehot,SV,16,2500,poly,0.003066655,balanced,0.080296713,4,0.412709604,0.542696185,0.136439109,0.640996244,0.001155975,0.230836134,0.114972461,22.72,129.2,0.64241945,0.644361534,0.567147658
22,22,0,1dpos,2dpos,onehot,SV,16,5000,rbf,2.590930506,balanced,0.016943427,,,0.578695394,0.069193474,0.630915201,0.001112923,0.409488041,0.087369895,26.84,174.8,0.632338407,0.645575136,0.565289583
23,23,0,1dpos,2dpos,onehot,SV,16,10000,rbf,1.517372063,balanced,0.026009145,,,0.561312512,0.119125875,0.633998814,0.001174418,0.251670291,0.134147848,13.96,59.6,0.635105752,0.648442739,0.564617513
24,24,0,1dpos,2dpos,onehot,SV,24,2500,poly,0.181050613,balanced,0.023514494,3,0.064282855,0.58221783,0.083875827,0.638900969,0.002810774,0.351334256,0.077653731,24.08,124.4,0.642814786,0.644295923,0.566791856
25,25,0,1dpos,2dpos,onehot,SV,24,5000,rbf,1.70448797,balanced,0.011232748,,,0.569080846,0.109221721,0.63451275,0.001226495,0.284838901,0.11648237,16.4,68.8,0.635896422,0.643234934,0.561692034
26,26,0,1dpos,2dpos,onehot,SV,24,10000,rbf,1.57913415,balanced,0.021011468,,,0.570195691,0.111587896,0.63609409,0.000978404,0.27005337,0.093321411,16.48,71,0.637280095,0.6467998,0.566791856
27,27,0,1dpos,elliptic,5FTE,SV,,,poly,4.634019224,,0.054079497,3,0.093992461,0.535038545,0.071720787,0.583237794,0.000954143,0.341609014,0.05379706,27.22,188.4,0.584700534,0.638933986,0.526942083
28,28,0,1dpos,elliptic,WTE,SV,,,rbf,4.370143765,balanced,0.044222052,,,0.546542466,0.076315221,0.591579364,0.00077065,0.359320024,0.122434201,41.95833333,343.6,0.592409567,0.63776428,0.525163076
29,29,0,1dpos,elliptic,onehot,SV,,,poly,0.008240653,balanced,0.113364828,4,0.488585279,0.546096066,0.062609233,0.597153588,0.002249418,0.388930619,0.049961146,55.12,479.8,0.601106938,0.64108098,0.525677011
30,30,0,1dpos,polar,5FTE,SV,,,rbf,1.724704015,balanced,0.103131605,,,0.534326942,0.087476815,0.58624234,0.001021388,0.300454635,0.089184861,25.74,200.8,0.587467879,0.641389508,0.526942083
31,31,0,1dpos,polar,WTE,SV,,,rbf,9.443944908,balanced,0.043896654,,,0.549116426,0.057195204,0.589602688,0.000941777,0.419569085,0.095240122,25.82,194.6,0.591223562,0.641387587,0.51010081
32,32,0,1dpos,polar,onehot,SV,,,poly,6.085850126,balanced,0.022121084,3,0.321990461,0.552852342,0.045334374,0.587112077,0.003151542,0.441114845,0.070102697,40.66,292.4,0.590630559,0.643883851,0.508677604
33,33,0,1dpos,raw,5FTE,SV,,,poly,4.210867759,balanced,0.039106083,3,0.183334047,0.541359953,0.057640985,0.573789286,0.000962298,0.41004151,0.119513731,72.98,643.8,0.575014825,0.644805362,0.510338011
34,34,0,1dpos,raw,WTE,SV,,,poly,0.108879351,balanced,0.175487735,3,-0.109528333,0.530140344,0.065620447,0.574935758,0.000822164,0.372919549,0.110611592,106.62,961.4,0.576003163,0.637958964,0.494603677
