Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,max_depth,learning_rate,n_estimators,reg_lambda,gamma,colsample_bytree,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,468,0,1dpos,2dpos,5FTE,XG,8,2500,10,0.036673046,450,0.023594214,0.052620697,0.615827686,0.634892271,0.010797479,0.645068195,0.000857066,0.608776438,0.008021259,17.28,40,0.645977466,0.662447974,0.586677209
1,469,0,1dpos,2dpos,5FTE,XG,8,5000,9,0.034691054,500,0.08689452,0.189015012,0.668646043,0.633393951,0.009396295,0.642617118,0.001671431,0.610515912,0.010227838,16,30.8,0.645384463,0.65929765,0.584621467
2,470,0,1dpos,2dpos,5FTE,XG,8,10000,7,0.088507139,350,0.003803293,0.021527679,0.786888189,0.633492785,0.011450823,0.643012453,0.000593003,0.604704487,0.015609102,11.68,26.2,0.643803123,0.660529971,0.584977268
3,471,0,1dpos,2dpos,5FTE,XG,16,2500,9,0.058305766,450,0.045718838,0.110707713,0.633640289,0.634908085,0.012563627,0.646886737,0.001698101,0.604230085,0.013609951,26.06,53.8,0.649140146,0.653786928,0.585926072
4,472,0,1dpos,2dpos,5FTE,XG,16,5000,9,0.047389631,500,0.001319738,0.266745993,0.694207743,0.635777822,0.008339602,0.645305396,0.001572668,0.616327337,0.004335187,24.64,46.2,0.647361139,0.654722105,0.584779601
5,473,0,1dpos,2dpos,5FTE,XG,16,10000,8,0.042283435,450,0.000436999,0.118742197,0.856351666,0.635129472,0.009324312,0.644475193,0.000299778,0.61296699,0.005751072,24.24,42.6,0.644791461,0.653526027,0.58545167
6,474,0,1dpos,2dpos,5FTE,XG,24,2500,8,0.065858603,250,0.000455985,0.887584646,0.742244118,0.634006721,0.009289572,0.642538051,0.000552055,0.611108915,0.008346159,17.16,42,0.643012453,0.661921255,0.584502866
7,475,0,1dpos,2dpos,5FTE,XG,24,5000,8,0.035156129,300,0.479169095,0.222907159,0.83961603,0.636568492,0.00733172,0.642854319,0.001237594,0.618857482,0.010808094,34.38,67.8,0.644989128,0.664847217,0.584700534
8,476,0,1dpos,2dpos,5FTE,XG,24,10000,7,0.071548004,250,0.000883189,0.284402736,0.764097558,0.635987349,0.008307049,0.644712394,0.001199111,0.615536667,0.004038904,20.98,67.2,0.646372801,0.661161304,0.586677209
9,477,0,1dpos,2dpos,WTE,XG,8,2500,9,0.099613585,350,0.009186164,0.100460368,0.755160906,0.635892469,0.01010064,0.644593793,0.000826903,0.611425183,0.012985568,11.18,29,0.645977466,0.660488352,0.585491204
10,478,0,1dpos,2dpos,WTE,XG,8,5000,8,0.044809493,400,0.024163081,0.022468507,0.637753517,0.636477565,0.009190263,0.646649535,0.000569475,0.615892469,0.006365999,13.38,26.8,0.647361139,0.661918949,0.587942281
11,479,0,1dpos,2dpos,WTE,XG,8,10000,6,0.086156414,250,0.060186865,0.289013712,0.600194851,0.634753904,0.009561486,0.644119391,0.001079055,0.611543783,0.007526176,8.98,27.8,0.645977466,0.664274652,0.58624234
12,480,0,1dpos,2dpos,WTE,XG,16,2500,7,0.076437798,350,0.000655503,0.010350309,0.724555614,0.635959676,0.007796146,0.644791461,0.00163599,0.616683139,0.005109619,18.46,37.4,0.646372801,0.65549226,0.585412137
13,481,0,1dpos,2dpos,WTE,XG,16,5000,7,0.053472065,450,0.004188082,0.066679284,0.621155226,0.636216644,0.009773107,0.644119391,0.001782299,0.614311129,0.01773916,23.9,54.2,0.646965804,0.653765195,0.585767938
14,482,0,1dpos,2dpos,WTE,XG,16,10000,9,0.076487877,350,0.013155334,0.172164092,0.811297254,0.633749753,0.010712153,0.644317059,0.000569475,0.608539237,0.008253181,14.98,30,0.645186796,0.655598976,0.585530737
15,483,0,1dpos,2dpos,WTE,XG,24,2500,7,0.063349125,400,1.395743279,0.014295817,0.676030789,0.634615537,0.008505681,0.643803123,0.002614896,0.614232062,0.008281538,26.7,49.8,0.647558806,0.661773123,0.586637675
16,484,0,1dpos,2dpos,WTE,XG,24,5000,8,0.061970595,500,0.000464682,0.351428597,0.837617415,0.636679186,0.00951791,0.64376359,0.001291663,0.61308559,0.014202243,27.54,60.4,0.645582131,0.659952138,0.583988931
17,485,0,1dpos,2dpos,WTE,XG,24,10000,8,0.066836249,300,0.011444759,0.679716679,0.774935614,0.634437636,0.010733264,0.643644989,0.0009208,0.607234631,0.011580854,25,51.8,0.644989128,0.66176075,0.584779601
18,486,0,1dpos,2dpos,onehot,XG,8,2500,10,0.029325001,500,0.000150721,0.094961169,0.746831114,0.634564143,0.011208247,0.644277525,0.00099425,0.60608816,0.011047652,17.96,39.4,0.645977466,0.659683723,0.58545167
19,487,0,1dpos,2dpos,onehot,XG,8,5000,7,0.045584192,450,0.000281767,0.077756041,0.60143039,0.636525005,0.009468076,0.645819332,0.000718162,0.613994861,0.005697147,19,38.6,0.646570468,0.66187881,0.588930619
20,488,0,1dpos,2dpos,onehot,XG,8,10000,9,0.033821874,500,0.007795085,0.018431206,0.715047891,0.635453647,0.008935204,0.644079858,0.000720877,0.613915794,0.008004192,18.08,30.4,0.644989128,0.660638488,0.586756276
21,489,0,1dpos,2dpos,onehot,XG,16,2500,7,0.086786878,250,0.01234723,0.069736825,0.658201964,0.632310733,0.010882308,0.642458984,0.000866136,0.605850959,0.008836645,12.54,33.2,0.643803123,0.653289697,0.584463333
22,490,0,1dpos,2dpos,onehot,XG,16,5000,8,0.040763702,450,0.000102003,0.016026778,0.938196052,0.634322989,0.009268415,0.643644989,0.001077243,0.61241352,0.006872181,19.36,45.2,0.644989128,0.654963464,0.585926072
23,491,0,1dpos,2dpos,onehot,XG,16,10000,9,0.064955205,250,0.002614981,0.094118083,0.709067367,0.634777624,0.007516631,0.642656652,0.001421283,0.616762206,0.006847974,23.68,52.8,0.644989128,0.655931562,0.584265665
24,492,0,1dpos,2dpos,onehot,XG,24,2500,8,0.059192362,300,0.02146926,0.10725701,0.723045989,0.636853133,0.009332751,0.643921724,0.00131564,0.613243724,0.013144965,28.06,67.6,0.645977466,0.66185944,0.586044673
25,493,0,1dpos,2dpos,onehot,XG,24,5000,7,0.040076752,400,0.352395419,0.67771927,0.827897108,0.637319628,0.008767682,0.646491401,0.000890601,0.617948211,0.006325978,23.04,44.4,0.647756474,0.662762355,0.586953943
26,494,0,1dpos,2dpos,onehot,XG,24,10000,7,0.02974928,400,1.604677561,0.238114986,0.86828794,0.634939711,0.010509881,0.644514726,0.001703844,0.610081044,0.011210206,25.22,77.2,0.647361139,0.663316605,0.588060882
27,495,0,1dpos,elliptic,5FTE,XG,,,8,0.049571957,500,0.085984032,0.374583549,0.601563254,0.633939514,0.009530493,0.642696185,0.000602805,0.611978652,0.006292847,7.6,17.4,0.643407788,0.658788017,0.583554062
28,496,0,1dpos,elliptic,WTE,XG,,,10,0.066375003,350,0.000175273,0.120620883,0.886095185,0.634639257,0.01030929,0.642814786,0.000484185,0.608539237,0.012983461,7.46,14.2,0.643605456,0.660683892,0.582328523
29,497,0,1dpos,elliptic,onehot,XG,,,9,0.041638174,450,0.685224597,0.200188092,0.688199598,0.635394347,0.007913879,0.644356592,0.000931348,0.618027278,0.007598767,8.88,22,0.645582131,0.659362912,0.584700534
30,498,0,1dpos,polar,5FTE,XG,,,9,0.098145211,500,0.787895755,0.097147861,0.78341077,0.629665942,0.014597779,0.640996244,0.000757869,0.592409567,0.004892022,10.36,20.4,0.64162878,0.654276824,0.58003558
31,499,0,1dpos,polar,WTE,XG,,,9,0.047767097,400,0.00025427,0.150627382,0.709018787,0.632010279,0.01083484,0.641233445,0.000279544,0.604269619,0.010733365,6.96,14.2,0.641431113,0.658598851,0.580944851
32,500,0,1dpos,polar,onehot,XG,,,9,0.075801074,500,0.000373456,0.024407535,0.873710257,0.630310338,0.01192842,0.64151018,0.001401907,0.601779008,0.005649281,10.48,21,0.643407788,0.656520401,0.57991698
33,501,0,1dpos,raw,5FTE,XG,,,7,0.076686171,400,0.452936345,0.148955437,0.681952781,0.623012453,0.010964845,0.632457007,0.000552055,0.596323384,0.015048978,6.54,19.2,0.633129077,0.656895798,0.576635699
34,502,0,1dpos,raw,WTE,XG,,,8,0.076176651,300,0.000305502,0.376244297,0.834066456,0.624894248,0.011310075,0.634987152,0.001373754,0.59920933,0.01261794,4.84,10,0.637082427,0.653945166,0.579482111
35,503,0,1dpos,raw,onehot,XG,,,7,0.088081432,250,0.264054941,0.021926103,0.715787588,0.623486855,0.012503269,0.633405811,0.001566445,0.589800356,0.008614313,4.76,11.8,0.63609409,0.65809526,0.575212493
36,504,0,1dpos,zone,5FTE,XG,,,10,0.070559521,300,0.000162951,0.165506462,0.603301,0.626882783,0.007337374,0.636647559,0.00175913,0.612018185,0.006693607,6.46,14.8,0.638663768,0.652734465,0.576833366
37,505,0,1dpos,zone,WTE,XG,,,8,0.050797422,500,0.000241275,0.157583187,0.942370614,0.629369441,0.008289684,0.637517296,0.001147494,0.608539237,0.008566784,5.62,15.8,0.638663768,0.657029648,0.579205377
38,506,0,1dpos,zone,onehot,XG,,,9,0.048998496,300,0.166645762,0.047033081,0.685613442,0.630187784,0.010516652,0.640166041,0.001079055,0.603874283,0.007464403,8.28,17.8,0.641431113,0.657406209,0.580470449
39,507,0,cyclic,2dpos,5FTE,XG,8,2500,10,0.087344374,350,0.924422022,0.042502512,0.675709208,0.634544376,0.014136513,0.645740265,0.0009208,0.598813995,0.007491312,10.18,23,0.646570468,0.661279901,0.587902748
40,508,0,cyclic,2dpos,5FTE,XG,8,5000,6,0.059245661,450,0.100221417,0.01383563,0.618677466,0.636552678,0.009908391,0.647321605,0.002012912,0.613520459,0.004783799,8.78,23,0.649733149,0.66082602,0.589879423
41,509,0,cyclic,2dpos,5FTE,XG,8,10000,8,0.044334534,350,0.003606293,0.010923211,0.710090263,0.635655268,0.009837142,0.643289188,0.000515454,0.611583317,0.006311447,14.7,32.4,0.644000791,0.658317321,0.586874876
42,510,0,cyclic,2dpos,5FTE,XG,16,2500,9,0.072058594,150,0.041991617,0.045392159,0.739844593,0.636244317,0.009421292,0.645937932,0.000843278,0.616208737,0.007574304,17.1,36.8,0.647163471,0.654254623,0.587507413
43,511,0,cyclic,2dpos,5FTE,XG,16,5000,8,0.040481461,500,0.116538293,0.023592529,0.782197807,0.636256177,0.009735569,0.645661198,0.001174418,0.613520459,0.010159611,27.14,65,0.646965804,0.656790566,0.585767938
44,512,0,cyclic,2dpos,5FTE,XG,16,10000,8,0.075828881,500,0.00102452,0.032801722,0.705372768,0.637374975,0.00931127,0.646689069,0.000552055,0.615339,0.006281972,26.16,45.6,0.647361139,0.652420247,0.585174936
45,513,0,cyclic,2dpos,5FTE,XG,24,2500,7,0.051696928,350,0.000565618,0.033036562,0.703180823,0.634413916,0.012160365,0.646570468,0.001537493,0.604862621,0.008906013,17.34,37.8,0.649140146,0.660032606,0.588416683
46,514,0,cyclic,2dpos,5FTE,XG,24,5000,7,0.045564546,400,1.658104487,0.010005303,0.630892749,0.633919747,0.01146722,0.645305396,0.001645515,0.606364894,0.007274326,16.1,33,0.646965804,0.662842602,0.588179482
47,515,0,cyclic,2dpos,5FTE,XG,24,10000,6,0.073695252,450,0.026274877,0.078490058,0.798313194,0.635738288,0.008346961,0.643842657,0.001284078,0.615536667,0.009245052,20,46.8,0.645582131,0.658384186,0.583988931
48,516,0,cyclic,2dpos,WTE,XG,8,2500,7,0.034513749,500,0.173874723,0.043962738,0.61750229,0.637544969,0.011544605,0.648547144,0.001118176,0.608381103,0.007619051,7.04,15,0.649733149,0.662357108,0.590195691
49,517,0,cyclic,2dpos,WTE,XG,8,5000,7,0.062562589,500,0.031451767,0.047805974,0.828439357,0.636548725,0.011733735,0.646807669,0.000718162,0.607867167,0.007786445,8.72,19.4,0.647558806,0.658683226,0.587388812
50,518,0,cyclic,2dpos,WTE,XG,8,10000,8,0.065429222,450,0.010642013,0.018986114,0.706560333,0.636635699,0.010639613,0.647400672,0.000599555,0.612492587,0.008301565,7.44,15.8,0.648151809,0.661384244,0.588574817
51,519,0,cyclic,2dpos,WTE,XG,16,2500,7,0.072628376,400,0.000103295,0.16574698,0.740393227,0.639082823,0.009561015,0.649416881,0.001051547,0.616366871,0.007792715,13.68,35.2,0.650919154,0.656078733,0.589444554
52,520,0,cyclic,2dpos,WTE,XG,16,5000,8,0.070510596,500,0.006250935,0.074254132,0.91388464,0.638798181,0.009249423,0.647835541,0.001846896,0.616999407,0.010131883,13.66,28,0.651116822,0.654223766,0.587626013
53,521,0,cyclic,2dpos,WTE,XG,16,10000,7,0.07289729,450,0.003778837,0.036934725,0.914967782,0.63690848,0.012260047,0.650326151,0.000894978,0.608815972,0.004211756,9.14,20,0.651907492,0.655028656,0.587823681
54,522,0,cyclic,2dpos,WTE,XG,24,2500,8,0.054199321,300,0.002931478,0.134067607,0.954607513,0.636619885,0.008622382,0.645621664,0.000831614,0.617473809,0.008925077,14.66,28.4,0.646570468,0.658820283,0.584265665
55,523,0,cyclic,2dpos,WTE,XG,24,5000,9,0.022515785,500,0.000329013,0.957051634,0.745701057,0.635592014,0.009654763,0.643961257,0.000972396,0.612690255,0.004873216,22.02,48,0.644791461,0.659660587,0.586716742
56,524,0,cyclic,2dpos,WTE,XG,24,10000,7,0.094983838,450,0.000246804,0.061090273,0.769663541,0.636999407,0.010535398,0.647479739,0.002140841,0.61162285,0.007682887,13.6,39.6,0.650523819,0.65901331,0.586835343
57,525,0,cyclic,2dpos,onehot,XG,8,2500,9,0.055369982,450,0.009431534,0.070843639,0.720364126,0.637161494,0.008989782,0.645661198,0.001042216,0.615141332,0.007733071,9.92,21,0.647361139,0.656733141,0.585254003
58,526,0,cyclic,2dpos,onehot,XG,8,5000,8,0.043857699,450,0.710963265,0.215333294,0.644849098,0.636615932,0.013245666,0.648230876,0.000330761,0.602490611,0.008037804,5.5,10.2,0.648744811,0.659807645,0.588258549
59,527,0,cyclic,2dpos,onehot,XG,8,10000,6,0.051651108,500,0.002696601,0.196492371,0.643229731,0.636928247,0.009898073,0.646293734,0.001443108,0.613994861,0.0083693,7.06,19.2,0.648151809,0.659813432,0.587942281
60,528,0,cyclic,2dpos,onehot,XG,16,2500,6,0.077632068,500,0.009519662,0.103262654,0.841245706,0.638015418,0.012274763,0.650326151,0.001383673,0.610160111,0.015824146,8.7,25.6,0.652105159,0.655272187,0.591342162
61,529,0,cyclic,2dpos,onehot,XG,16,5000,7,0.078712243,350,0.01444609,0.076284537,0.714528776,0.636335244,0.011863432,0.647321605,0.001095228,0.607036964,0.012498466,11.08,31.4,0.649140146,0.655692416,0.588535284
62,530,0,cyclic,2dpos,onehot,XG,16,10000,6,0.099455456,400,0.007999969,0.035572058,0.661455886,0.63780589,0.013752192,0.653053963,0.00275106,0.604664954,0.012181837,8.82,21.4,0.65684918,0.655582112,0.594425776
63,531,0,cyclic,2dpos,onehot,XG,24,2500,8,0.085127922,300,0.000842974,0.026971301,0.69870484,0.638300059,0.010609107,0.647005337,0.000599555,0.60992291,0.004018537,18.34,39.6,0.647756474,0.657230878,0.586558608
64,532,0,cyclic,2dpos,onehot,XG,24,5000,8,0.045408414,350,0.09452814,0.077387742,0.814882097,0.639802332,0.010971597,0.649377347,0.001614352,0.611108915,0.011497557,14.6,35.4,0.651116822,0.658097478,0.588060882
65,533,0,cyclic,2dpos,onehot,XG,24,10000,8,0.051060887,450,0.00016807,0.014655595,0.828742989,0.639363511,0.008614759,0.647519273,0.001299204,0.617315675,0.008235883,18.94,38.8,0.649535481,0.658845012,0.588060882
66,534,0,cyclic,elliptic,5FTE,XG,,,7,0.091653738,450,0.53980987,0.077124976,0.6327169,0.634532516,0.01128153,0.644791461,0.000916547,0.607116031,0.015538352,2.94,6.2,0.645977466,0.65810204,0.584937735
67,535,0,cyclic,elliptic,WTE,XG,,,9,0.069659456,200,1.740545008,0.113000482,0.605962186,0.639865586,0.012162567,0.650405218,0.001415774,0.609448508,0.012260486,3.42,6.6,0.652302827,0.655033482,0.589602688
68,536,0,cyclic,elliptic,onehot,XG,,,7,0.065030509,500,0.018970466,0.040067955,0.707656331,0.636651512,0.013790239,0.648547144,0.00069886,0.603558015,0.005856432,2.64,6.4,0.649535481,0.659203881,0.587270212
69,537,0,cyclic,polar,5FTE,XG,,,7,0.0572707,350,0.00213191,0.093510743,0.622469067,0.629440601,0.011624794,0.63913817,0.000760442,0.599486064,0.004010751,2.7,6.2,0.640245108,0.653287551,0.57912631
70,538,0,cyclic,polar,WTE,XG,,,7,0.066636138,400,0.923046454,0.016989336,0.665740124,0.63762799,0.010107591,0.648151809,0.002245071,0.615694801,0.012936581,3.02,6.8,0.651907492,0.658324817,0.585254003
71,539,0,cyclic,polar,onehot,XG,,,8,0.042087279,450,0.236592433,0.047775643,0.805421001,0.634212295,0.011957693,0.645819332,0.001164394,0.605850959,0.010195698,3.12,7.6,0.647558806,0.655957468,0.584147065
72,540,0,cyclic,raw,5FTE,XG,,,8,0.085241453,400,0.000144012,0.055382351,0.620053582,0.62694999,0.013564095,0.639770706,0.001223305,0.595928049,0.001731143,2.74,5.4,0.641826448,0.649273122,0.579719312
73,541,0,cyclic,raw,WTE,XG,,,7,0.065973283,300,0.000926651,0.03714244,0.778444543,0.631531923,0.013350308,0.643921724,0.001105879,0.600237201,0.012655817,2.22,5.4,0.644989128,0.657156327,0.584463333
74,542,0,cyclic,raw,onehot,XG,,,6,0.099183971,450,0.001027083,0.010089959,0.870312005,0.632227713,0.014005653,0.645977466,0.001303707,0.599723265,0.01326215,2.3,3.4,0.647558806,0.65438712,0.584977268
75,543,0,cyclic,zone,5FTE,XG,,,8,0.050641264,400,0.000978249,0.033555614,0.814243434,0.631259142,0.007962798,0.640917177,0.000857066,0.614825064,0.008307447,3.8,7.2,0.64162878,0.65389611,0.57845424
76,544,0,cyclic,zone,WTE,XG,,,8,0.047675901,400,0.079420403,0.044837781,0.673456435,0.63695592,0.008887798,0.64546353,0.000664469,0.614745997,0.006959188,3.64,8.2,0.646175133,0.656410541,0.584621467
77,545,0,cyclic,zone,onehot,XG,,,9,0.03216056,450,0.002396198,0.129259573,0.626114445,0.632927456,0.013469333,0.644277525,0.001547624,0.599288397,0.013253604,4.06,8,0.646570468,0.654336412,0.585214469
78,546,0,raw,2dpos,5FTE,XG,8,2500,8,0.085749088,300,0.000124141,0.110061545,0.70126459,0.634698557,0.011496348,0.644989128,0.002054221,0.605890492,0.007998088,5.78,13.8,0.648547144,0.660397189,0.587112077
79,547,0,raw,2dpos,5FTE,XG,8,5000,7,0.059965462,400,0.002568236,0.026024431,0.682779994,0.636588259,0.010450983,0.646175133,0.001303707,0.61083218,0.010173062,6.88,18.2,0.647756474,0.660975794,0.588574817
80,548,0,raw,2dpos,5FTE,XG,8,10000,9,0.026902134,450,0.005810321,0.033339429,0.700526437,0.635943862,0.008793706,0.644040324,0.000783222,0.614706464,0.008478301,8.16,19,0.645384463,0.659349935,0.586953943
81,549,0,raw,2dpos,5FTE,XG,16,2500,7,0.051716905,400,0.002617627,0.1510172,0.856929308,0.634208342,0.009118208,0.642814786,0.000726277,0.612611188,0.005785617,8.9,20.8,0.643803123,0.656515118,0.587270212
82,550,0,raw,2dpos,5FTE,XG,16,5000,5,0.096018809,450,0.000110567,0.169519767,0.932552286,0.635125519,0.010880127,0.644356592,0.00051165,0.607906701,0.015064678,8.66,16.8,0.644989128,0.655226475,0.58770508
83,551,0,raw,2dpos,5FTE,XG,16,10000,6,0.087180647,400,0.000246166,0.09211377,0.601466449,0.637106147,0.008078958,0.646649535,0.001215294,0.618185412,0.010615869,12.64,36,0.647954141,0.654274139,0.590393358
84,552,0,raw,2dpos,5FTE,XG,24,2500,9,0.080908114,200,0.003963412,0.271479667,0.679399819,0.634825064,0.011949811,0.645621664,0.000783222,0.605257956,0.008414231,12.22,23.4,0.646372801,0.660427323,0.587191144
85,553,0,raw,2dpos,5FTE,XG,24,5000,8,0.079638493,350,1.99565537,0.512109473,0.650367705,0.637007314,0.009062831,0.645186796,0.000916547,0.615536667,0.010630948,16.2,40.2,0.646570468,0.661891708,0.587270212
86,554,0,raw,2dpos,5FTE,XG,24,10000,7,0.079210798,300,0.000480868,0.054602794,0.834624183,0.635038545,0.009898904,0.644475193,0.001578867,0.611227515,0.005912539,14.8,41.2,0.646965804,0.662007515,0.586202807
87,555,0,raw,2dpos,WTE,XG,8,2500,8,0.096930753,400,0.163048182,0.026444923,0.61097841,0.638841668,0.010966049,0.647796007,0.000866136,0.613441392,0.01483073,5.54,16,0.649337814,0.660285171,0.588021348
88,556,0,raw,2dpos,WTE,XG,8,5000,8,0.075496959,400,0.004630151,0.015839286,0.60138431,0.639509785,0.009689046,0.648191342,0.000931348,0.615378533,0.009548999,6.58,15.6,0.649733149,0.66038452,0.587309745
89,557,0,raw,2dpos,WTE,XG,8,10000,7,0.058508311,500,0.14769935,0.010976858,0.610028907,0.639663965,0.01224109,0.649812216,0.000964326,0.609962443,0.015525019,6.58,12.8,0.651512157,0.65946777,0.589365487
90,558,0,raw,2dpos,WTE,XG,16,2500,7,0.054475248,450,0.205703047,0.163077143,0.816985524,0.635702708,0.013406136,0.648744811,0.002724659,0.601265072,0.008169673,8.36,16.4,0.653093497,0.65336157,0.589998023
91,559,0,raw,2dpos,WTE,XG,16,5000,8,0.046926825,350,0.005257993,0.174488723,0.690938035,0.637790077,0.010279649,0.648151809,0.000739604,0.613401858,0.012337526,11.4,24.4,0.649140146,0.655075788,0.58928642
92,560,0,raw,2dpos,WTE,XG,16,10000,8,0.066913355,350,0.036404032,0.238694015,0.87701203,0.636050603,0.00957582,0.645898399,0.000868388,0.614113461,0.008220926,12.2,30.2,0.647163471,0.653918055,0.586005139
93,561,0,raw,2dpos,WTE,XG,24,2500,7,0.063335834,450,0.050365,0.022386737,0.817995196,0.637133821,0.01091266,0.647796007,0.001172753,0.608657838,0.005712557,15.68,47.4,0.649733149,0.661763723,0.586400474
94,562,0,raw,2dpos,WTE,XG,24,5000,7,0.069567662,300,0.001758516,0.089287036,0.748387756,0.637991698,0.010201699,0.647479739,0.002525971,0.612373987,0.011750831,17.24,41,0.651907492,0.663098106,0.587784147
95,563,0,raw,2dpos,WTE,XG,24,10000,6,0.065019618,450,0.013307024,0.089212337,0.699657097,0.637125914,0.00874175,0.644949595,0.001644328,0.615378533,0.008170869,14.12,37.8,0.647756474,0.665595386,0.587191144
96,564,0,raw,2dpos,onehot,XG,8,2500,7,0.053494564,500,0.003365869,0.054653758,0.640514888,0.640213481,0.009201965,0.649140146,0.003007536,0.619450484,0.012007712,8.6,15.8,0.654477169,0.660622108,0.589563155
97,565,0,raw,2dpos,onehot,XG,8,5000,7,0.070720051,250,0.002857495,0.011107945,0.813842643,0.637260328,0.011093793,0.647242538,0.000773181,0.611069381,0.009972518,6.16,12.6,0.648151809,0.65930694,0.587546946
98,566,0,raw,2dpos,onehot,XG,8,10000,8,0.068362792,500,1.114323913,0.046507734,0.773603069,0.640312315,0.010425037,0.650128484,0.000670323,0.616327337,0.005675847,6.42,14,0.651116822,0.659754263,0.589207353
99,567,0,raw,2dpos,onehot,XG,16,2500,7,0.074368162,300,0.005000722,0.097316088,0.761110319,0.637857284,0.011180825,0.648784345,0.00104034,0.611227515,0.006863647,8.78,23.6,0.649930816,0.654568156,0.58995849
100,568,0,raw,2dpos,onehot,XG,16,5000,7,0.070968836,500,0.15772103,0.054842748,0.841940023,0.638414706,0.010331392,0.647993675,0.001948805,0.61241352,0.007848919,12.46,27.6,0.650919154,0.653783041,0.587744614
101,569,0,raw,2dpos,onehot,XG,16,10000,8,0.061331387,400,0.004827982,0.014290825,0.70547894,0.637442182,0.010861087,0.646728602,0.000165381,0.612927456,0.015504872,12.24,24.4,0.646965804,0.655351228,0.587230678
102,570,0,raw,2dpos,onehot,XG,24,2500,6,0.089487881,450,0.144950524,0.01280381,0.706112211,0.6384661,0.010644647,0.647242538,0.001415774,0.61229492,0.007937034,11.34,27,0.649733149,0.661585165,0.587428346
103,571,0,raw,2dpos,onehot,XG,24,5000,6,0.063982759,500,0.008098418,0.043666265,0.960669964,0.638165645,0.010391452,0.646570468,0.000988338,0.610674046,0.008909961,15.62,34.2,0.648151809,0.659126167,0.58612374
104,572,0,raw,2dpos,onehot,XG,24,10000,7,0.064252613,400,0.082239993,0.050251505,0.930781588,0.63919747,0.009786101,0.647400672,0.000704429,0.614232062,0.008587283,14.34,36.8,0.648547144,0.660534953,0.58837715
105,573,0,raw,elliptic,5FTE,XG,,,7,0.034318697,500,0.5767361,0.041448331,0.624320098,0.634844831,0.009974484,0.643684523,0.001502793,0.609527575,0.008531363,2.42,4,0.645582131,0.657842382,0.586281874
106,574,0,raw,elliptic,WTE,XG,,,8,0.057906972,250,0.074935075,0.03354218,0.622125798,0.636742439,0.013614279,0.649930816,0.001210461,0.604941688,0.008507285,2.12,6.6,0.651709824,0.65990508,0.589721289
107,575,0,raw,elliptic,onehot,XG,,,7,0.065788627,450,0.068640642,0.038970202,0.600510842,0.63916189,0.010698465,0.650444752,0.002341338,0.613836727,0.011304785,2.9,7.4,0.654477169,0.658780768,0.589523621
108,576,0,raw,polar,5FTE,XG,,,8,0.035069752,500,0.000151463,0.010047424,0.662751842,0.63066614,0.011079117,0.639612572,0.000757869,0.602846412,0.006931623,3.46,6.2,0.64083811,0.653523878,0.581735521
109,577,0,raw,polar,WTE,XG,,,6,0.077742523,450,1.017226487,0.051209462,0.830653124,0.638837715,0.012564175,0.651986559,0.001345011,0.609646175,0.007563721,2.42,5,0.653093497,0.658899091,0.590828227
110,578,0,raw,polar,onehot,XG,,,7,0.086413298,450,0.002451077,0.043393687,0.640692393,0.638644001,0.011813788,0.64917968,0.000731637,0.611385649,0.013721173,2.34,5.2,0.650128484,0.658910481,0.588139949
