Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,90,0,1dpos,2dpos,5FTE,RF,16.0,5000.0,400,45,5,2,sqrt,0.8714069794676828,0.9772168412729788,0.0014925227037403,0.9780984384265664,8.839960377543491e-05,0.9732753508598536,0.0016383764210399,3.38,6.0,0.9782565724451472,0.5734032707214144,0.9780984384265664
1,91,0,1dpos,2dpos,WTE,RF,16.0,5000.0,600,50,4,1,sqrt,0.682595248686216,0.9773235817355208,0.0014186943475402,0.9782961059497924,8.839960377543491e-05,0.9736311524016604,0.0014019073513735,3.44,7.0,0.9784542399683732,0.5747448445122865,0.9782961059497924
2,92,0,1dpos,2dpos,onehot,RF,16.0,5000.0,950,35,5,2,sqrt,0.8947911533894405,0.9768689464321012,0.0016429159052538,0.9781379719312115,0.000108266961357,0.9729195493180468,0.0015053910072867,3.6,6.8,0.9782565724451472,0.5680906248903854,0.9781379719312115
3,93,0,1dpos,elliptic,5FTE,RF,,,800,25,4,2,log2,0.8895037649411941,0.9785609804309152,0.0007462693657447,0.9791263095473411,0.000108266961357,0.9767542992686302,0.0010880694955147,3.24,5.6,0.9792449100612768,0.5993950916004149,0.9791263095473411
4,94,0,1dpos,elliptic,WTE,RF,,,350,20,2,1,sqrt,0.9903977831395756,0.9785609804309152,0.0007589831965541,0.9794425775845028,0.0001397720460934,0.9767542992686302,0.0009541425883492,2.18,5.0,0.9796402451077288,0.609014692763284,0.9794425775845028
5,95,0,1dpos,elliptic,onehot,RF,,,400,45,5,1,log2,0.8757317892704505,0.9781102984779602,0.0007252440728691,0.9787705080055348,0.000108266961357,0.9763589642221784,0.0009334428901456,2.38,5.2,0.9788495750148252,0.5910080399384668,0.9787705080055348
6,96,0,1dpos,polar,5FTE,RF,,,250,20,9,1,sqrt,0.8387713858162482,0.9786163273374184,0.0006322965083607,0.9790867760426962,8.839960377543491e-05,0.977149634315082,0.0011058786899149,3.02,5.6,0.9792449100612768,0.60075016013447,0.9790867760426962
7,97,0,1dpos,polar,WTE,RF,,,650,15,7,1,sqrt,0.986733026015152,0.9783712196086182,0.0007299347114516,0.9788891085194702,8.839960377543491e-05,0.9764775647361136,0.0009582288708077,2.58,5.4,0.979047242538051,0.5972818839551708,0.9788891085194702
8,98,0,1dpos,polar,onehot,RF,,,1000,50,3,1,sqrt,0.9620848318987862,0.9782486657442184,0.000744932529774,0.9788891085194702,8.839960377543491e-05,0.9764380312314686,0.0010589519854499,3.12,6.0,0.979047242538051,0.5924242424242424,0.9788891085194702
9,99,0,1dpos,raw,5FTE,RF,,,950,50,5,1,log2,0.9739874874046832,0.9781972721881796,0.000762170365474,0.9789286420241154,0.000108266961357,0.9763194307175332,0.0010589519854499,3.06,5.4,0.979047242538051,0.5971297884505431,0.9789286420241154
10,100,0,1dpos,raw,WTE,RF,,,600,40,3,1,sqrt,0.7877648761314848,0.978315872702115,0.00076007504779,0.9788495750148252,0.0,0.9763984977268236,0.0010137087491565,3.36,6.0,0.9788495750148252,0.599250936329588,0.9788495750148252
11,101,0,1dpos,raw,onehot,RF,,,500,45,3,1,sqrt,0.8740053659868265,0.9780272781182052,0.000930885167731,0.9788891085194702,8.839960377543491e-05,0.9757264281478554,0.0008884050228995,2.56,5.0,0.979047242538051,0.5978867882022205,0.9788891085194702
