Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,max_depth,learning_rate,n_estimators,reg_lambda,gamma,colsample_bytree,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,180,0,1dpos,2dpos,5FTE,XG,16.0,5000.0,10,0.0234762736320123,350,0.0264736662996898,0.2133627734132223,0.9826708046210229,0.9786637675429926,0.0004913936704746,0.9794030440798578,0.0001653805152271,0.9777426368847598,0.000108266961357,0.7,1.2,0.9796402451077288,0.6219417874345176,0.9794030440798578
1,181,0,1dpos,2dpos,WTE,XG,16.0,5000.0,7,0.0782771872845638,100,0.001768462984102,0.0719893479680902,0.7571159911631925,0.978825854912038,0.0005754502572043,0.9795611780984383,0.000108266961357,0.977544969361534,0.0002253756523224,0.08,0.8,0.9796402451077288,0.621793455967184,0.9795611780984383
2,182,0,1dpos,2dpos,onehot,XG,16.0,5000.0,10,0.0208716691855102,250,0.0123953774002613,0.2468889671060332,0.8995454367613638,0.9788377149634314,0.0005334108864543,0.9795216445937932,0.000108266961357,0.9777426368847598,0.0004760464352161,0.52,1.2,0.9796402451077288,0.6207807431897654,0.9795216445937932
3,183,0,1dpos,elliptic,5FTE,XG,,,10,0.0803618736895817,250,0.1870775996776059,0.059045920314302,0.7260228333593536,0.9792607234631348,0.0006132831202326,0.9801146471634712,0.000108266961357,0.9779798379126308,0.0003590808880131,0.0,0.0,0.9802332476774066,0.6305834486109283,0.9801146471634712
4,184,0,1dpos,elliptic,WTE,XG,,,10,0.0528577235263017,400,0.0043853294017778,1.6040202669266217,0.6705108240182138,0.979351650523819,0.0005550946973423,0.980154180668116,0.000108266961357,0.9782565724451472,0.0001397720460933,0.0,0.0,0.9802332476774066,0.6309585846940935,0.980154180668116
5,185,0,1dpos,elliptic,onehot,XG,,,10,0.0127488389356746,450,0.0294603621919886,0.0549347517102079,0.7508463183110361,0.9793832773275352,0.0005007807260319,0.980075113658826,0.0001653805152271,0.9783356394544376,0.0004098921002832,0.06,0.6,0.9802332476774066,0.6273965141612201,0.980075113658826
6,186,0,1dpos,polar,5FTE,XG,,,10,0.0500499099569751,250,0.0007663873479894,0.03091698785205,0.7830461915011843,0.9801304605653292,0.0005522575296905,0.9811029847796008,0.0001767992075509,0.9791263095473411,0.0002253756523224,0.0,0.0,0.9812215852935364,0.6565910761678674,0.9811029847796008
7,187,0,1dpos,polar,WTE,XG,,,10,0.0651409459535195,250,0.0353607063041624,0.4731728832935395,0.6407450534788913,0.9800316268037164,0.0005229638613032,0.9807076497331488,0.000108266961357,0.9790077090334058,0.0004719247434794,0.0,0.0,0.9808262502470844,0.6484170064670285,0.9807076497331488
8,188,0,1dpos,polar,onehot,XG,,,8,0.0194035501132238,350,0.0054978208467803,1.140487787885747,0.9355516699211326,0.9799525597944256,0.0004973294489698,0.9805495157145682,0.000108266961357,0.9788100415101798,0.0004285329786257,0.0,0.0,0.9806285827238584,0.6439902814376092,0.9805495157145682
9,189,0,1dpos,raw,5FTE,XG,,,10,0.0520765066815611,300,0.0026280676182052,0.1490858636904999,0.8786519385533224,0.97922118995849,0.0004933855853577,0.9798774461356,8.839960377543491e-05,0.978217038940502,8.839960377543491e-05,0.0,0.0,0.9800355801541808,0.6324885261751073,0.9798774461356
